ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
NGTS-EB-8_A	0.25	0.005	0.004	0.255	0.004	0.005	3500.0	100.0	200.0	0.0	0.5	0.5	NA	5.023	0.02	0.016	0.0	0.00879	0.00108	0.00187	1.0	MS	M	8.43	0.02	0.03024911	True	True	OBrien25	EB	3
TIC126323537_A	1.145	0.047	0.047	1.666	0.027	0.027	6787.0	133.0	133.0	-0.53	0.05	0.05	NA	4.05	0.01	0.01	0.0	5.28	0.14	0.13	0.0	MS	NA	8.34	0.01	0.199760192	True	True	MWang25	EB	3
TIC344753509_A	0.743	0.005	0.005	0.729	0.006	0.006	5520.0	120.0	120.0	-0.11	0.12	0.12	NA	4.39	0.09	0.09	0.0	0.44454	0.0406	0.03812	1.0	MS	G8	18.49	0.04	0.039426717	True	True	Pan25	EB	3
KIC7037405_B	1.11	0.011	0.011	1.746	0.16	0.014	6094.0	138.0	148.0	-0.27	0.1	0.1	NA	3.999	0.0071	0.0071	0.0	3.78785	0.80815	0.3599	1.0	MS	NA	193.8	0.89	0.009009288	True	True	Brogaard18	EB	3
EPIC211770390_A	0.825	0.03	0.03	2.156	0.332	0.322	5840.19	128.78	128.78	0.034	0.067	0.067	NA	3.972	0.107	0.107	0.0	4.88	5.1	2.49	0.0	MS	NA	19.31968792	NA	0.111596006	True	True	Xiong23	EB	3
V*_MW_Aur_A	1.412	0.11	0.11	2.279	0.403	0.426	7007.88	68.71	68.71	-0.039	0.036	0.036	NA	4.016	0.057	0.057	0.0	11.3	15.56	6.54	0.0	MS	NA	35.8495278	NA	0.06357127	True	True	Xiong23	EB	3
ASAS_J051753-5406.0_A	1.3094	0.0051	0.0051	1.9288	0.0037	0.003	6462.0	43.0	43.0	0.0	0.2	0.2	NA	3.9836	0.0012	0.0012	0.0	5.83	0.15	0.15	0.0	MS	F	49.718	0.09	0.038794803	True	True	Miller22	EB	3
EPIC219511354_A	0.912	0.006	0.006	0.92	0.007	0.007	5035.01	65.46	65.46	0.07	0.03	0.03	NA	4.47	0.016	0.016	0.0	0.491	0.065	0.057	0.0	MS	K	6.979	0.052	0.131824044	True	True	Xiong23	EB	3
47_Tuc_E32_A	0.862	0.002	0.002	1.183	0.002	0.001	6025.6	18.08	18.08	-0.71	0.1	0.1	NA	4.227	0.002	0.002	0.0	1.66	0.05	0.05	0.0	MS	NA	59.46	0.1	0.019895728	True	True	Xiong23	EB	3
NGC_2506_V5_B	0.707	0.004	0.003	0.61	0.52	0.016	4940.0	110.0	60.0	-0.36	0.01	0.01	NA	4.72	0.03	0.02	1.0	0.19965	0.48581	0.01405	1.0	MS	NA	9.04	0.1	0.067477876	True	True	Knudstrup20	EB	3
