ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
NGTS-EB-8_A	0.25	0.005	0.004	0.255	0.004	0.005	3500.0	100.0	200.0	0.0	0.5	0.5	NA	5.023	0.02	0.016	0.0	0.00879	0.00108	0.00187	1.0	MS	M	8.43	0.02	0.03024911	True	True	OBrien25	EB	3
NGTS-EB-8_B	0.208	0.005	0.004	0.233	0.006	0.005	3300.0	100.0	100.0	0.0	0.5	0.5	NA	5.021	0.02	0.022	0.0	0.0058	0.0008	0.00072	1.0	MS	M	8.43	0.02	0.027639383	True	True	OBrien25	EB	3
TIC278683641_A	1.273	0.007	0.007	1.612	0.003	0.003	5940.0	110.0	110.0	0.2907	0.0039	0.0039	APOGEE2_DR17	4.128	0.001	0.001	0.0	2.92	0.14	0.14	0.0	MS	F/G	13.5	0.021	0.119116234	True	True	CakirliDec25	EB	3
TIC278683641_B	0.589	0.002	0.002	0.585	0.001	0.001	3653.0	97.0	97.0	0.2907	0.0039	0.0039	APOGEE2_DR17	4.674	0.001	0.001	0.0	0.06	0.01	0.01	0.0	MS	M	13.5	0.021	0.043227666	True	True	CakirliDec25	EB	3
KIC9656397_A	1.15	0.15	0.09	1.09	0.16	0.16	6270.0	140.0	130.0	-0.089	0.041	0.041	LAMOST_DR11	4.38	0.04	0.04	0.0	1.66	0.51	0.49	0.0	MS	F2	204.0	20.0	0.005343137	True	True	Xu26	EB	3
KIC9656397_B	1.16	0.19	0.14	1.09	0.16	0.15	6360.0	140.0	130.0	-0.089	0.041	0.041	LAMOST_DR11	4.38	0.04	0.04	0.0	1.76	0.54	0.51	0.0	MS	F2	204.0	20.0	0.005343137	True	True	Xu26	EB	3
LL_Aqr_A	1.1947	0.0009	0.0009	1.318	0.0013	0.0013	6242.0	51.0	51.0	0.04	0.05	0.05	NA	4.2755	0.0009	0.0009	0.0	2.38	0.08	0.08	0.0	MS	F9	40.744	0.007	0.032348321	True	True	Miller26	EB	2
LL_Aqr_B	1.0334	0.0006	0.0006	0.9927	0.0008	0.0008	5839.0	45.0	45.0	0.05	0.08	0.08	NA	4.4587	0.0008	0.0008	0.0	1.03	0.03	0.03	0.0	MS	G3	40.744	0.007	0.024364324	True	True	Miller26	EB	2
V570_Per_A	1.4569	0.0094	0.01	1.543	0.012	0.009	6556.0	64.0	26.0	0.18	0.03	0.01	NA	4.225	0.009	0.009	0.0	3.96	0.22	0.11	0.0	MS	F3	9.118	0.016	0.169225707	True	True	Yucel26	EB	2
V570_Per_B	1.3579	0.0094	0.0089	1.377	0.013	0.015	6468.0	32.0	21.0	0.17	0.01	0.01	NA	4.293	0.011	0.011	0.0	2.99	0.12	0.1	0.0	MS	F5	9.118	0.016	0.151019961	True	True	Yucel26	EB	2
