ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logR	elogR1	elogR2
KIC11235323_A	1.03	0.01	0.01	3.578	0.009	0.009	4840.0	200.0	200.0	-0.4	0.2	0.2	NA	NA	NA	NA	3.342	0.004	0.004	0.0	6.32932	1.11291	0.98361	1.0	RGB	NA	38.79656981	NA	0.092224648	True	True	Benbakoura21	EB	3	0.8013570534437037	0.07034603419657126	0.07335165847247493	0.5536403362313542	0.00109104044461239	0.001093788275693841
KIC5193386_A	1.39	0.03	0.03	4.49	0.05	0.05	4780.0	100.0	100.0	-0.36	0.06	0.06	NA	NA	NA	NA	3.274	0.004	0.004	0.0	9.48198	0.81981	0.79708	1.0	RGB	NA	44.37376129	NA	0.101185923	True	True	Benbakoura21	EB	3	0.9768990349421449	0.03601365768349085	0.03813421269998518	0.6522463410033232	0.004809511853780646	0.004863370888703367
KIC6307537_A	1.29	0.07	0.07	4.45	0.06	0.06	4960.0	240.0	240.0	0.0	0.4	0.4	NA	NA	NA	NA	3.25	0.01	0.01	0.0	10.79795	2.24867	1.96448	1.0	RGB	NA	53.65752778	NA	0.082933377	True	True	Benbakoura21	EB	3	1.03334131213556	0.08215670103456252	0.08720997369727701	0.6483600109809317	0.0058165308970288265	0.0058954907388102384
KIC9904059_A	0.98	0.06	0.06	4.96	0.08	0.08	4830.0	160.0	160.0	0.0	0.3	0.3	NA	NA	NA	NA	3.039	0.007	0.007	0.0	12.06276	1.68002	1.56892	1.0	RGB	NA	104.419767	NA	0.047500585	NA	True	Benbakoura21	EB/A	3	1.0814466872097463	0.056627906979314524	0.06051224900235641	0.6954816764901974	0.006948859955327902	0.007061854487486863
KIC9540226_A	1.378	0.038	0.038	13.06	0.16	0.16	4680.0	80.0	80.0	-0.23	0.1	0.1	NA	NA	NA	NA	2.345	0.1	0.1	0.0	73.71646	5.17358	5.23038	1.0	RGB	NA	176.0	1.3	0.074204545	True	True	Brogaard18	EB	3	1.8675644714279398	0.029457704834919163	0.03196216261459672	1.115943176939055	0.005288278210566322	0.00535346663980607
KIC9970396_A	1.178	0.015	0.015	8.035	0.074	0.074	4860.0	80.0	80.0	-0.35	0.1	0.1	NA	NA	NA	NA	2.699	0.011	0.011	0.0	32.44976	2.19035	2.16768	1.0	RGB	NA	207.92	0.73	0.038644671	True	True	Brogaard18	EB	3	1.5112114890851984	0.028367773368573657	0.030025786635702767	0.9049858810993634	0.003981419319024404	0.004018257180239071
HD187669_A	1.504	0.004	0.004	11.33	0.28	0.28	4650.0	80.0	80.0	-0.25	0.1	0.1	NA	NA	NA	NA	2.507	0.02	0.02	0.0	53.9	3.9	3.9	0.0	RGB	NA	120.51	0.04	0.094017094	True	True	Helminiak15	EB	3	1.7315887651867388	0.03033907323379026	0.03261876085072002	1.0542299098633972	0.01060230987517663	0.010867631842267578
HD187669_B	1.505	0.004	0.004	22.62	0.5	0.5	4330.0	70.0	70.0	-0.25	0.1	0.1	NA	NA	NA	NA	1.907	0.019	0.019	0.0	161.0	13.0	13.0	0.0	RGB	NA	120.51	0.04	0.187702265	True	True	Helminiak15	EB	3	2.2068258760318495	0.033723372250750394	0.03656416063689205	1.3544926005894364	0.009495229159055096	0.009707477956775845
KIC8144907	0.79	0.02	0.02	3.62	0.04	0.04	5400.0	200.0	200.0	-2.66	0.08	0.08	NA	NA	NA	NA	3.221	0.006	0.006	0.0	10.42	0.92	0.92	0.0	RGB	NA	NA	NA	NA	NA	NA	Huber24	A	3	1.0178677189635057	0.036745335593382	0.04014411367465798	0.5587085705331657	0.00477251486124497	0.0048255438892913505
HD128279	0.77	0.02	0.02	3.8	0.03	0.03	5458.0	39.0	39.0	-2.17	0.12	0.12	NA	NA	NA	NA	3.16	0.01	0.01	1.0	11.1	1.7	1.7	0.0	RGB	NA	NA	NA	NA	NA	NA	Lindsay25	A	3	1.0453229787866574	0.061886990861210966	0.0721951251869587	0.5797835966168101	0.003415177351812626	0.0034422464110172024
HD175305	0.83	0.02	0.02	7.4	0.07	0.07	5127.0	68.0	68.0	-1.35	0.15	0.15	NA	NA	NA	NA	2.62	0.01	0.01	1.0	33.1	3.0	3.0	0.0	RGB	NA	NA	NA	NA	NA	NA	Lindsay25	A	3	1.5198279937757189	0.03767920812993908	0.04126149818187552	0.8692317197309762	0.004088882084422596	0.004127745089848256
KIC10000162	1.0742	0.044	0.044	5.1429	0.0945	0.0945	4750.7637	53.1605	53.1605	0.0804	0.058	0.058	NA	NA	NA	NA	3.0485	0.0045	0.0045	0.0	12.61	1.95	1.78	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.1007150865730817	0.062446288403936734	0.06608662994776138	0.7112080798586333	0.007907664017809735	0.00805432179401211
KIC10000198	1.1102	0.0454	0.0454	5.4775	0.1005	0.1005	4865.2046	55.3799	55.3799	-0.1602	0.058	0.058	NA	NA	NA	NA	3.008	0.0046	0.0046	0.0	15.7	0.8	0.63	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.1958996524092338	0.021584291804672473	0.017786400094601973	0.738582386232743	0.007896123697288093	0.00804234975562379
KIC10000207	1.054	0.0406	0.0406	6.1571	0.1066	0.1066	4714.3325	46.4471	46.4471	-0.2319	0.058	0.058	NA	NA	NA	NA	2.8839	0.004	0.004	0.0	18.71	0.5	0.39	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2720737875000099	0.011453577361683731	0.009148318168178182	0.7893762072045255	0.00745474180311978	0.007584941929177358
KIC10000547	1.1397	0.0436	0.0436	4.8668	0.084	0.084	4939.567	49.9275	49.9275	-0.2742	0.058	0.058	NA	NA	NA	NA	3.1221	0.004	0.004	0.0	13.13	0.24	0.28	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.1182647260894794	0.007866681172504997	0.009361598422165995	0.687243499380741	0.0074318828887759425	0.007561278808259075
KIC10001326	1.2174	0.0469	0.0469	9.3695	0.1624	0.1624	4649.9917	45.9037	45.9037	-0.0963	0.058	0.058	NA	NA	NA	NA	2.5817	0.004	0.004	0.0	35.68	1.15	1.34	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.5524248457040855	0.013776873150827429	0.016624554879187903	0.9717164155372083	0.007463061939560145	0.007593555408169084
KIC10003349	1.3773	0.0531	0.0531	9.8369	0.1705	0.1705	4671.34	46.7252	46.7252	-0.0492	0.058	0.058	NA	NA	NA	NA	2.5931	0.004	0.004	0.0	41.54	2.15	1.92	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.6184664921990803	0.021915552510488157	0.02055202099655218	0.9928582564587708	0.007463002606638125	0.007593493982160804
KIC10003497	1.1867	0.0458	0.0458	12.1523	0.2108	0.2108	4615.7476	42.5666	42.5666	-0.1903	0.058	0.058	NA	NA	NA	NA	2.3408	0.0038	0.0038	0.0	60.39207	2.8505	3.02346	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.7809799157512292	0.020029594372633852	0.02230558838304697	1.0846584822780647	0.007468899808744434	0.0075995993032591524
KIC10004825	1.688	0.0651	0.0651	10.0175	0.1737	0.1737	4653.666	47.6694	47.6694	0.181	0.058	0.058	NA	NA	NA	NA	2.6656	0.0041	0.0041	0.0	42.40277	35.61959	2.2477	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.6273942282064264	0.26482485439426484	0.02365384088282063	1.0007593511047375	0.007465973499777956	0.007596569700419775
KIC10004975	0.6768	0.1861	0.1861	26.7391	3.5672	3.5672	4112.621	36.7385	36.7385	-0.1921	0.058	0.058	NA	NA	NA	NA	1.3863	0.0128	0.0128	0.0	184.27356	6.78523	46.34501	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.2654630261043276	0.015703996871057058	0.12580885547513088	1.42714678543862	0.054386132530154674	0.062185139836609116
