ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2
mu._Cas_A	0.744	0.0122	0.0122	0.789	0.008	0.008	5306.0	31.0	31.0	-0.81	0.03	0.03	NA	NA	NA	NA	4.515	0.011	0.011	0.0	0.445	0.005	0.005	0.0	MS	G5	1618.559515	NA	0.00048747	True	True	Bond20	EB	3	-0.3516399890190684	0.0048525027944120724	0.0049073344947441755
KIC7037405_B	1.11	0.011	0.011	1.746	0.014	0.014	6094.0	138.0	148.0	-0.27	0.1	0.1	NA	NA	NA	NA	3.999	0.0071	0.0071	0.0	3.78785	0.80815	0.3599	1.0	MS	NA	193.8	0.89	0.009009288	True	True	Brogaard18	EB	3	0.578392772479564	0.08398724753668363	0.043358293791547986
KIC9970397_B	1.003	0.0085	0.0085	1.1089	0.0052	0.0052	6221.0	125.0	125.0	-0.35	0.1	0.1	NA	NA	NA	NA	4.3493	0.0054	0.0054	0.0	1.65928	0.16483	0.13032	1.0	MS	NA	207.92	0.73	0.005333301	True	True	Brogaard18	EB	3	0.21991967848625152	0.04113134572136626	0.03552355475248645
KIC10709834	1.39	0.04	0.03	1.76	0.03	0.02	6508.0	84.0	84.0	-0.08	0.09	0.09	NA	NA	NA	NA	4.092	0.01	0.01	NA	5.709	0.462955304	0.462955304	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.7565600430066829	0.03386272932667522	0.03672805657250233
KIC1430163	1.34	0.06	0.06	1.48	0.03	0.03	6520.0	84.0	84.0	-0.11	0.09	0.09	NA	NA	NA	NA	4.221	0.013	0.014	NA	3.592	0.288982235	0.288982235	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.5553363279952668	0.03360532678826045	0.03642541848165359
KIC5021689	1.22	0.08	0.07	1.79	0.04	0.04	6168.0	84.0	84.0	-0.08	0.09	0.09	NA	NA	NA	NA	4.016	0.011	0.01	NA	4.306	0.358627328	0.358627328	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.6340740254874684	0.03474292680548541	0.03776589535422625
KIC5450445	1.39	0.07	0.06	1.99	0.04	0.04	6112.0	84.0	84.0	0.05	0.09	0.09	NA	NA	NA	NA	3.985	0.009	0.009	NA	5.484	0.465478939	0.465478939	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.7390974461174751	0.03538148535455954	0.038521695043855164
KIC5774694	1.06	0.05	0.06	1.0	0.03	0.03	5875.0	84.0	84.0	0.07	0.09	0.09	NA	NA	NA	NA	4.463	0.017	0.019	NA	0.953	0.061686383	0.061686383	NA	MS	G	NA	NA	NA	NA	NA	C14bruntt	A	1	-0.02090709936167361	0.02723893158244398	0.029062359151703545
KIC5939450	1.53	0.1	0.09	2.88	0.07	0.06	6282.0	84.0	84.0	-0.18	0.09	0.09	NA	NA	NA	NA	3.701	0.017	0.013	NA	11.37	0.908440115	0.908440115	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	1.0557604646877348	0.03338273172013784	0.03616401926361257
KIC6442183	1.08	0.05	0.05	1.71	0.03	0.03	5760.0	84.0	84.0	-0.11	0.09	0.09	NA	NA	NA	NA	4.006	0.009	0.008	NA	2.577	0.22061138	0.22061138	NA	MS	G	NA	NA	NA	NA	NA	C14bruntt	A	1	0.41111441855090475	0.03567296735778713	0.03886750187412363
KIC9226926	1.39	0.05	0.04	1.64	0.03	0.03	6892.0	84.0	84.0	-0.23	0.09	0.09	NA	NA	NA	NA	4.151	0.013	0.012	NA	4.548	0.365619369	0.365619369	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.6578204560156972	0.03358105503242559	0.036396901369382784
KIC10130724	0.85	0.15	0.09	1.08	0.06	0.04	5648.0	70.0	70.0	0.32	0.15	0.15	NA	NA	NA	NA	4.306	0.022	0.016	NA	4.802	1.391686439	1.391686439	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6814221557210085	0.11052705930378837	0.14862784372222948
