ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
NGTS-EB-8_A	0.25	0.005	0.004	0.255	0.004	0.005	3500.0	100.0	200.0	0.0	0.5	0.5	NA	5.023	0.02	0.016	0.0	0.00879	0.00108	0.00187	1.0	MS	M	8.43	0.02	0.03024911	True	True	OBrien25	EB	3
KIC9656397_A	1.15	0.15	0.09	1.09	0.16	0.16	6270.0	140.0	130.0	-0.089	0.041	0.041	LAMOST_DR11	4.38	0.04	0.04	0.0	1.66	0.51	0.49	0.0	MS	F2	204.0	20.0	0.005343137	True	True	Xu26	EB	3
V570_Per_A	1.4569	0.0094	0.01	1.543	0.012	0.009	6556.0	64.0	26.0	0.18	0.03	0.01	NA	4.225	0.009	0.009	0.0	3.96	0.22	0.11	0.0	MS	F3	9.118	0.016	0.169225707	True	True	Yucel26	EB	2
TIC189069314_A	1.126	0.069	0.069	1.439	0.047	0.047	6286.0	108.0	108.0	-0.32	0.03	0.03	NA	4.17	0.01	0.01	0.0	2.9	0.09	0.09	0.0	MS	NA	14.49	0.01	0.099309869	True	True	MWang25	EB	3
TIC46299496_A	1.123	0.028	0.028	1.13	0.018	0.018	6056.0	113.0	113.0	-0.56	0.03	0.03	NA	4.38	0.01	0.01	0.0	1.54	0.04	0.04	0.0	MS	NA	11.99	0.01	0.094245204	True	True	MWang25	EB	3
TIC431925451_A	1.426	0.079	0.079	1.488	0.09	0.09	6989.0	131.0	131.0	-0.2	0.02	0.02	NA	4.25	0.05	0.05	0.0	4.74	0.3	0.29	0.0	MS	NA	14.19	0.01	0.104862579	True	True	MWang25	EB	3
TIC126323537_A	1.145	0.047	0.047	1.666	0.027	0.027	6787.0	133.0	133.0	-0.53	0.05	0.05	NA	4.05	0.01	0.01	0.0	5.28	0.14	0.13	0.0	MS	NA	8.34	0.01	0.199760192	True	True	MWang25	EB	3
TIC446092483_A	1.342	0.019	0.019	2.194	0.069	0.069	6336.0	120.0	120.0	-0.25	0.01	0.01	NA	3.88	0.03	0.03	0.0	6.07	0.21	0.21	0.0	MS	NA	26.92	0.05	0.081500743	True	True	MWang25	EB	3
KIC11769146_A	1.001	0.007	0.007	0.968	0.002	0.002	5800.0	150.0	150.0	0.0	0.25	0.25	NA	4.467	0.001	0.001	0.0	0.95	0.09	0.08	0.0	MS	NA	222.4	0.5	0.004352518	True	True	OzdarcanFeb25	EB	3
KIC8868907_A	1.032	0.005	0.005	1.318	0.002	0.002	5800.0	150.0	150.0	0.0	0.25	0.25	NA	4.2115	0.0009	0.0009	0.0	1.8	0.2	0.2	0.0	MS	NA	148.6	0.2	0.008869448	True	True	OzdarcanFeb25	EB	3
TIC17303250_A	0.714	0.004	0.004	0.768	0.004	0.004	5135.0	80.0	80.0	-0.04	0.15	0.15	NA	4.38	0.28	0.28	0.0	0.36947	0.02388	0.02282	1.0	MS	K1	17.46	0.03	0.043986254	True	True	Pan25	EB	3
TIC219488423_A	0.565	0.016	0.016	0.564	0.007	0.007	4870.0	90.0	90.0	-0.55	0.12	0.12	NA	4.55	0.15	0.15	0.0	0.1612	0.0129	0.01225	1.0	MS	K3	25.95	0.13	0.021734104	True	True	Pan25	EB	3
TIC344753509_A	0.743	0.005	0.005	0.729	0.006	0.006	5520.0	120.0	120.0	-0.11	0.12	0.12	NA	4.39	0.09	0.09	0.0	0.44454	0.0406	0.03812	1.0	MS	G8	18.49	0.04	0.039426717	True	True	Pan25	EB	3
KIC9762519_A	0.92	0.02	0.02	0.916	0.008	0.008	5750.0	90.0	NA	-0.447	0.028	0.028	LAMOST_DR11	4.48	0.005	0.005	0.0	0.83	0.1	-0.09	0.0	MS	G7	18.9	0.1	0.048465608	True	True	Ozdarcan24	EB	3
HAT-TR-318-007_B	0.2721	0.0041	0.0042	0.2913	0.0023	0.0024	3100.0	110.0	110.0	0.298	0.08	0.08	NA	4.9442	0.0038	0.0039	0.0	0.01	0.0	0.0	0.0	MS	M5.01+/-0.73 	8.436	0.06	0.034531273	True	True	Hartman18	EB	3
CM_Dra_B	0.21017	0.00028	0.00028	0.23732	0.004	0.00014	3120.0	70.0	70.0	-0.3	0.12	0.12	NA	5.009	0.006	0.006	0.0	0.0	0.0	0.0	0.0	MS	M4.5	3.7404	0.0014	0.06344725	True	True	MartinFeb24	EB	3
CU_Cnc_B	0.3998	0.0014	0.0014	0.3908	0.031	0.0094	3125.0	150.0	150.0	0.2	0.2	0.2	NA	4.854	0.021	0.021	0.0	0.01	0.0	0.0	0.0	MS	M	7.8	0.007	0.050102564	True	True	Hahlin24	EB	3
KOI-126_C	0.20739	0.00055	0.00055	0.23196	0.014	0.00069	3177.0	37.0	35.0	0.15	0.08	0.08	NA	5.024	0.0025	0.0025	0.0	0.0	0.0	0.0	0.0	MS	M	4.6355	0.0041	0.050039757	True	True	Yenawine22	TEB	3
KIC9540226_B	1.002	0.015	0.015	1.014	0.074	0.014	6157.0	131.0	131.0	-0.23	0.1	0.1	NA	4.427	0.1	0.1	0.0	1.33121	0.23289	0.11564	1.0	MS	NA	176.0	1.3	0.005761364	True	True	Brogaard18	EB	3
KIC9641031_B	0.9512	0.0039	0.0039	0.9	0.022	0.024	5490.0	240.0	240.0	-0.437	0.012	0.012	NA	4.508	0.023	0.023	0.0	0.66	0.13	0.11	0.0	MS	NA	9.145	0.016	0.098414434	True	True	Helminiak19	EB	3
KIC10583181_B	0.96	0.016	0.016	0.98	0.015	0.01	5754.7	127.2	127.2	-0.23	0.007	0.007	NA	4.438	0.007	0.007	0.0	0.94894	0.09153	0.08341	1.0	MS	NA	11.095	0.075	0.088328076	True	True	Helminiak19	EB	3
KIC11922782_B	0.836	0.006	0.006	0.849	0.016	0.063	5862.8	122.6	122.6	-0.223	0.012	0.012	NA	4.503	0.064	0.064	0.0	0.76724	0.07237	0.12605	1.0	MS	NA	12.056	0.034	0.070421367	True	True	Helminiak19	EB	3
KIC8301013_B	1.11	0.05	0.05	1.2	0.106	0.01	5966.0	97.0	97.0	-0.019	0.035	0.035	NA	4.33	0.02	0.02	0.0	1.64	0.27	0.24	0.0	MS	F	15.2	0.1	0.078947368	True	True	Xiong23	EB	3
EPIC211396167_B	0.756	0.011	0.011	0.873	0.105	0.173	4658.78	123.6	123.6	-0.224	0.17	0.17	NA	4.434	0.26	0.26	0.0	0.32	0.51	0.2	0.0	MS	NA	13.03572926	NA	0.066969786	True	True	Xiong23	EB	3
EPIC211770390_B	0.859	0.03	0.03	1.998	0.252	0.332	5343.71	240.28	240.28	0.034	0.067	0.067	NA	3.77	0.153	0.153	0.0	2.94	4.08	1.71	0.0	MS	NA	19.31968792	NA	0.10341782	True	True	Xiong23	EB	3
TYC_2271-1530-1_B	1.123	0.031	0.031	1.68	0.031	0.13	6625.81	94.05	94.05	-0.101	0.013	0.013	NA	4.037	0.088	0.088	0.0	4.91	2.27	1.55	0.0	MS	NA	24.82086886	NA	0.067684979	True	True	Xiong23	EB	3
EPIC220398184_B	0.433	0.011	0.011	0.488	0.009	0.041	3637.21	19.92	19.92	-0.498	0.107	0.107	NA	4.687	0.11	0.11	0.0	0.04	0.02	0.01	0.0	MS	NA	7.803052742	NA	0.062539626	True	True	Xiong23	EB	3
ZTF_J034350.31+515137.1_B	0.893	0.043	0.043	1.721	0.161	0.292	5284.07	132.16	132.16	0.026	0.055	0.055	NA	3.917	0.171	0.171	0.0	2.08	2.62	1.16	0.0	MS	NA	9.014663159	NA	0.190911182	True	True	Xiong23	EB	3
V*_NO_Per_B	2.601	0.092	0.092	2.158	0.092	0.618	12168.73	1095.0	1095.0	0.0	0.0	0.0	NA	4.184	0.443	0.443	0.0	92.04	344.47	72.64	0.0	MS	NA	24.30949283	NA	0.088771906	True	True	Xiong23	EB	3
UCAC4_586-021001_B	6.154	0.081	0.081	4.085	0.151	0.246	25690.12	957.88	957.88	0.244	0.0	0.0	NA	4.004	0.103	0.103	0.0	6550.0	3640.0	2340.0	0.0	MS	NA	27.92017385	NA	0.146309977	True	True	Xiong23	EB	3
V*_MW_Aur_B	1.215	0.11	0.11	1.475	0.092	0.403	6804.39	384.03	384.03	-0.039	0.036	0.036	NA	4.185	0.343	0.343	0.0	4.21	12.2	3.13	0.0	MS	NA	35.8495278	NA	0.041144196	True	True	Xiong23	EB	3
TYC_1332-131-1_B	1.309	0.014	0.014	1.551	0.048	0.159	6017.11	128.33	128.33	-0.078	0.006	0.006	NA	4.173	0.133	0.133	0.0	2.84	1.9	1.14	0.0	MS	NA	12.3748729	NA	0.125334621	True	True	Xiong23	EB	3
ASASSN-V_J064057.24+213910.5_B	1.775	0.023	0.023	0.933	0.05	0.089	8718.72	416.29	416.29	-0.604	0.01	0.01	NA	4.747	0.184	0.184	0.0	4.54	3.91	2.1	0.0	MS	NA	10.91523409	NA	0.085476866	True	True	Xiong23	EB	3
LINEAR_23079661_B	0.489	0.011	0.011	0.713	0.029	0.158	3742.5	114.96	114.96	-0.2	0.0	0.0	NA	4.421	0.259	0.259	0.0	0.09	0.17	0.06	0.0	MS	NA	7.872884814	NA	0.090564008	True	True	Xiong23	EB	3
KOI-6964_B	1.081	0.025	0.025	0.684	0.149	0.317	6480.11	225.99	225.99	-0.204	0.031	0.031	NA	4.8	0.823	0.823	0.0	0.74	5.68	0.66	0.0	MS	NA	14.88816689	NA	0.045942526	True	True	Xiong23	EB	3
V*_V714_And_B	1.344	0.103	0.103	1.717	0.128	0.026	6396.25	36.37	36.37	0.168	0.01	0.01	NA	4.096	0.057	0.057	0.0	4.45	0.41	0.37	0.0	MS	NA	18.12862638	NA	0.094712085	True	True	Xiong23	EB	3
ASAS_J051753-5406.0_B	1.0896	0.0034	0.0034	1.1815	0.003	0.0037	6331.0	43.0	43.0	0.0	0.2	0.2	NA	4.3297	0.0026	0.0026	0.0	2.02	0.06	0.06	0.0	MS	F	49.718	0.09	0.023764029	True	True	Miller22	EB	3
DS_And_B	1.087	0.017	0.017	1.255	0.016	0.006	5970.35	59.7	59.7	-0.03	0.02	0.02	NA	4.277	0.025	0.025	0.0	1.8	0.18	0.16	0.0	MS	NA	36.67167	NA	0.034222603	True	True	Xiong23	EB	3
ASAS_J231922-0852.2_B	1.006	0.001	0.001	1.11	0.003	0.01	6237.35	43.66	43.66	-0.39	0.07	0.07	NA	4.35	0.018	0.018	0.0	1.68	0.13	0.12	0.0	MS	NA	18.04	0.015	0.061529933	True	True	Xiong23	EB	3
ASAS_J163903-2847.2_B	1.141	0.001	0.001	1.224	0.011	0.002	6591.74	164.79	164.79	-0.19	0.16	0.16	NA	4.32	0.003	0.003	0.0	2.55	0.66	0.53	0.0	MS	NA	47.0	0.04	0.026042553	True	True	Xiong23	EB	3
ASAS_J060505+2032.1_B	1.697	0.012	0.012	2.008	0.01	0.005	7413.1	163.09	163.09	-0.12	0.31	0.31	NA	4.062	0.004	0.004	0.0	11.0	2.5	2.0	0.0	MS	NA	10.46	0.05	0.191969407	True	True	Xiong23	EB	3
NGTS_0002-29_B	0.224	0.001	0.001	0.276	0.003	0.002	3228.49	19.37	19.37	0.04	0.04	0.04	NA	4.908	0.017	0.017	0.0	0.00746	0.00053	0.0005	0.0	MS	NA	3.8239	0.0099	0.07217762	True	True	Xiong23	EB	3
EPIC219511354_B	0.822	0.007	0.007	0.851	0.001	0.007	4688.13	56.26	56.26	0.07	0.03	0.03	NA	4.494	0.017	0.017	0.0	0.316	0.039	0.035	0.0	MS	K	6.979	0.052	0.12193724	True	True	Xiong23	EB	3
GJ_469_B	0.188	0.004	0.004	0.266	0.018	0.011	3134.0	0.0	0.0	-0.1	0.0	0.0	NA	4.8	0.0	0.0	0.0	0.0062	0.0013	0.0011	0.0	MS	M	884.14	NA	0.000300859	True	True	Xiong23	EB	3
GJ_1245_C	0.081	0.001	0.001	0.087	0.015	0.004	2611.0	0.0	0.0	-0.07	0.0	0.0	NA	5.0	0.0	0.0	0.0	0.000317	7.5e-05	6.1e-05	0.0	MS	M	827.2	NA	0.000105174	True	True	Xiong23	EB	3
G250-29_B	0.187	0.004	0.004	0.231	0.003	0.011	3279.0	0.0	0.0	-0.14	0.0	0.0	NA	4.7	0.0	0.0	0.0	0.0056	0.0014	0.0011	0.0	MS	M	993.0	NA	0.000232629	True	True	Xiong23	EB	3
AL_Ari_B	0.911	0.0	0.0	0.905	0.007	0.003	5559.04	27.8	27.8	-0.42	0.08	0.08	NA	4.458	0.008	0.008	0.0	0.705	0.035	0.033	0.0	MS	G7	12.9503	0.0014	0.069882551	True	True	Xiong23	EB	3
NGC_2506_V4_B	1.25	0.004	0.004	1.534	0.004	0.008	6823.39	40.94	40.94	-0.36	0.1	0.1	NA	4.163	0.012	0.012	0.0	4.6	0.28	0.27	0.0	MS	NA	11.87	0.02	0.129233361	True	True	Xiong23	EB	3
47_Tuc_E32_B	0.827	0.002	0.002	1.004	0.009	0.002	5956.62	17.87	17.87	-0.71	0.1	0.1	NA	4.352	0.003	0.003	0.0	1.15	0.03	0.03	0.0	MS	NA	59.46	0.1	0.016885301	True	True	Xiong23	EB	3
KIC7821010_B	1.221	0.007	0.007	1.21	0.001	0.006	6561.45	72.18	72.18	0.1	0.08	0.08	NA	4.359	0.009	0.009	0.0	2.45	0.27	0.24	0.0	MS	NA	47.83	0.2	0.02529793	True	True	Xiong23	EB	3
KIC10031808_B	1.798	0.006	0.006	3.027	0.003	0.006	6839.12	47.87	47.87	-0.11	0.08	0.08	NA	3.731	0.004	0.004	0.0	18.1	1.2	1.1	0.0	MS	NA	26.905	0.054	0.112506969	True	True	Xiong23	EB	3
AL_Dor_B	1.103	0.0	0.0	1.098	0.005	0.001	6053.41	30.27	30.27	-0.1	0.04	0.04	NA	4.399	0.002	0.002	0.0	1.46	0.07	0.07	0.0	MS	F9	33.1727	0.0065	0.033099507	True	True	Xiong23	EB	3
EPIC219394517_B	1.066	0.001	0.001	1.042	0.004	0.005	5874.89	41.12	41.12	0.07	0.03	0.03	NA	4.43	0.01	0.01	0.0	1.2	0.1	0.1	0.0	MS	G1	18.954	0.012	0.054975203	True	True	Xiong23	EB	3
Tyc_5227-1023-1_A	0.956	0.007	0.007	1.388	0.004	0.004	6353.31	88.95	88.95	-0.63	0.11	0.11	NA	4.13	0.01	0.01	0.0	2.83	0.39	0.34	0.0	MS	F7	13.54	0.07	0.10252698	True	True	Xiong23	EB	3
TV_Cet_A	1.385	0.052	0.052	1.484	0.01	0.02	6902.0	150.0	150.0	-0.122	0.005	0.005	LAMOST_DR11	4.237	0.02	0.02	0.0	4.50259	0.40892	0.39756	1.0	MS	F2V	25.15	0.25	0.059005964	True	True	Eker14+18	EB	2
KIC7177553_A	1.043	0.014	0.014	0.94	0.005	0.005	5800.0	130.0	130.0	0.204	0.013	0.013	LAMOST_DR11	4.51	0.007	0.007	0.0	0.90087	0.08407	0.07868	1.0	MS	G2V	36.76	0.15	0.025571273	True	True	Eker14+18	EB	3
KIC10935310_B	0.376	0.017	0.017	0.3475	0.006	0.0081	3460.0	210.0	210.0	-0.281	0.029	0.029	LAMOST_DR11	4.932	0.028	0.028	0.0	0.01559	0.00418	0.00353	1.0	MS	M3V	11.03	0.21	0.031504986	True	True	Eker14+18	EB	3
47_Tuc-V69_B	0.859	0.006	0.006	1.163	0.006	0.006	5959.0	150.0	150.0	-0.71	0.1	0.1	NA	4.242	0.003	0.003	NA	1.531	0.171	0.171	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
alf_Cen_B	0.934	0.006	0.006	0.863	0.005	0.005	5223.0	62.0	62.0	0.24	0.04	0.04	NA	4.536	0.006	0.006	NA	0.498	0.025	0.025	NA	MS	G	NA	NA	NA	True	True	torres10	EB	1
BW_Aqr_B	1.377	0.02	0.02	1.788	0.04	0.04	6450.0	100.0	100.0	-0.07	0.11	0.11	NA	4.075	0.022	0.022	NA	4.966	0.417	0.417	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
CO_And_B	1.264	0.007	0.007	1.694	0.017	0.017	6170.0	130.0	130.0	0.01	0.15	0.15	NA	4.082	0.009	0.009	NA	3.733	0.351	0.351	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
EK_Cep_B	1.122	0.01	0.01	1.315	0.015	0.015	5700.0	190.0	190.0	0.07	0.05	0.05	NA	4.251	0.015	0.015	NA	1.641	0.256	0.256	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
GX_Gem_B	1.467	0.01	0.01	2.244	0.012	0.012	6166.0	100.0	100.0	-0.12	0.1	0.1	NA	3.904	0.005	0.005	NA	6.531	0.467	0.467	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
HW_CMa_B	1.719	0.011	0.011	1.649	0.018	0.018	7560.0	150.0	150.0	0.33	0.1	0.1	NA	4.242	0.01	0.01	NA	7.98	0.71	0.71	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
Kepler-35A	0.8876	0.0051	0.0053	1.0284	0.002	0.0019	5606.0	150.0	150.0	-0.34	0.2	0.2	NA	4.3623	0.002	0.002	NA	0.94	0.1	0.1	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1
LV_Her_A	1.192	0.01	0.01	1.358	0.012	0.012	6060.0	150.0	150.0	0.08	0.21	0.21	NA	4.249	0.008	0.008	NA	2.234	0.25	0.25	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
SW_CMa_A	2.24	0.014	0.014	3.015	0.02	0.02	8200.0	150.0	150.0	0.49	0.15	0.15	NA	3.83	0.007	0.007	NA	36.898	3.005	3.005	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
V1130_Tau_B	1.392	0.008	0.008	1.784	0.011	0.011	6625.0	70.0	70.0	-0.25	0.1	0.1	NA	4.08	0.006	0.006	NA	5.508	0.26	0.26	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
V432_Aur_A	1.079	0.005	0.005	1.224	0.007	0.007	6685.0	85.0	85.0	-0.6	0.05	0.05	NA	4.296	0.005	0.005	NA	2.685	0.146	0.146	NA	MS	F	NA	NA	NA	True	True	torres10	EB	1
V565_Lyr_A	0.929	0.003	0.003	0.971	0.009	0.009	5430.0	125.0	125.0	0.28	0.05	0.05	NA	4.432	0.008	0.008	NA	0.736	0.077	0.077	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
V636_Cen_A	0.854	0.003	0.003	0.835	0.004	0.004	5000.0	100.0	100.0	-0.2	0.08	0.08	NA	4.532	0.005	0.005	NA	0.391	0.034	0.034	NA	MS	K	NA	NA	NA	True	True	eker14	EB	1
WZ_Oph_B	1.227	0.007	0.007	1.401	0.012	0.012	6165.0	100.0	100.0	-0.27	0.07	0.07	NA	4.234	0.008	0.008	NA	2.547	0.182	0.182	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
