Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
1	47_Tuc-V69 A	0.876	0.005	0.005	1.316	0.005	0.005	5945	150	150	1.941	0.217	0.217	-0.71	0.1	0.1	4.143	0.003	0.003	NA	NA	NA	3.8971687	MS	G	NA	eker14	0.570776255707762	0.379939209726444	2.52312867956266	11.1798042246265	EB	3.7741518589547103	0.010821850999690241	0.011098418655095532	0.28802553538836284	0.046025904958528985	0.05148827389966887
2	47_Tuc-V69 B	0.859	0.006	0.006	1.163	0.006	0.006	5959	150	150	1.531	0.171	0.171	-0.71	0.1	0.1	4.242	0.003	0.003	NA	NA	NA	3.8879917	MS	G	NA	eker14	0.69848661233993	0.515907136715391	2.51720087262964	11.1691704768125	EB	3.775173385424787	0.010796739707222613	0.01107200894855831	0.18497519069826102	0.045984365050308035	0.05143628232804354
3	AD_Boo A	1.414	0.009	0.009	1.614	0.014	0.014	6575	120	120	4.375	0.356	0.356	0.1	0.15	0.15	4.173	0.008	0.008	NA	NA	NA	3.4842037	MS	F	NA	eker14	0.636492220650636	0.867410161090458	1.82509505703422	8.13714285714286	EB	3.8178957571617955	0.007854824186232179	0.007999510559356438	0.640978057358332	0.033974890690233295	0.03686005116629709
4	AD_Boo B	1.209	0.006	0.006	1.218	0.01	0.01	6145	120	120	1.901	0.164	0.164	0.1	0.15	0.15	4.351	0.007	0.007	NA	NA	NA	3.7660687	MS	F	NA	eker14	0.496277915632754	0.821018062397373	1.95280716029292	8.62703840084166	EB	3.788521887222473	0.00839918810769591	0.008564835975567231	0.27898211686544316	0.035937939126976626	0.0391822984183445
9	AI_Phe A	1.234	0.004	0.004	2.932	0.048	0.048	5010	120	120	4.864	0.519	0.519	-0.14	0.1	0.1	3.595	0.014	0.014	NA	NA	NA	4.5100612	PMS	K	NA	torres10	0.324149108589951	1.63710777626194	2.39520958083832	10.6702302631579	EB	3.699837725867246	0.010279639244570316	0.010528866743625631	0.6869935662646786	0.04403081355100935	0.04900378547999329
11	alf_Cen A	1.105	0.007	0.007	1.224	0.003	0.003	5824	26	26	1.549	0.029	0.029	0.24	0.04	0.04	4.306	0.004	0.004	NA	NA	NA	3.9764842	MS	G	NA	torres10	0.633484162895928	0.245098039215686	0.446428571428571	1.87217559715946	EB	3.765221366304981	0.0019344997771995054	0.001943155286002085	0.19005141775920598	0.008055581114195492	0.008207829814433437
12	alf_Cen B	0.934	0.006	0.006	0.863	0.005	0.005	5223	62	62	0.498	0.025	0.025	0.24	0.04	0.04	4.536	0.006	0.006	NA	NA	NA	4.3704397	MS	G	NA	torres10	0.642398286937901	0.579374275782155	1.18705724679303	5.02008032128514	EB	3.7179200258369938	0.005124965806451165	0.0051861667670420886	-0.30277065724028246	0.02127234610755674	0.02236820202190598
24	BG_Ind A	1.428	0.008	0.008	2.29	0.017	0.017	6353	270	270	7.907	1.621	1.621	-0.2	0.1	0.1	3.86505724276038	0.0068917938020421	0.0068917938020421	NA	NA	NA	3.6297247	MS	F	NA	eker14	0.560224089635854	0.74235807860262	4.24996064851251	20.5008220564057	EB	3.8029788553352617	0.018075899711626597	0.018861038872338476	0.8980117387975016	0.08099000967721948	0.09963736211594043
25	BG_Ind B	1.293	0.008	0.008	1.68	0.038	0.039	6653	233	233	5.117	0.881	0.881	-0.2	0.1	0.1	4.09097996142867	0.0198295561346882	0.020341925232502	NA	NA	NA	3.4330747	MS	F	NA	eker14	0.618716163959783	2.29166666666667	3.50217946790921	17.2171194059019	EB	3.8230175234460493	0.014949494922605222	0.015482495377196148	0.7090154169721172	0.06899104445139115	0.08205946553666987
34	BW_Aqr A	1.479	0.02	0.02	2.057	0.04	0.04	6350	100	100	6.18	0.488	0.488	-0.07	0.11	0.11	3.981	0.019	0.019	NA	NA	NA	3.6316912	MS	F	NA	eker14	1.35226504394861	1.94457948468644	1.5748031496063	7.89644012944984	EB	3.8027737252919755	0.006785989343291998	0.006893707947900118	0.7909884750888159	0.03300711606715179	0.03572358367656914
