ID	component	M	eM	R	eR	Teff	eTeff	L	eL	logg	elogg	FeH	eFeH	logL	elogL1	elogL2	elogL	logTeff	elogTeff1	elogTeff2	elogTeff
*  11 LMi	NA	0.936	0.015	0.991	0.014	5451.0	46.0	0.781	0.013	4.44	0.02	0.34	0.02	-0.10734896612269966	0.007169468549795943	0.007289813845788334	0.007229641197792139	3.7364761820276966	0.003649554938033983	0.0036804837383672684	0.0036650193382006258
*  12 Oph	NA	0.896	0.01	0.77	0.012	5407.0	47.0	0.4563	0.0076	4.62	0.02	0.03	0.01	-0.34074953122733914	0.00717390374609872	0.007294399239586635	0.0072341514928426776	3.7329563695756245	0.003758764029986761	0.003791579882854279	0.00377517195642052
*  15 Sge	NA	0.991	0.018	1.115	0.019	5824.0	52.0	1.289	0.013	4.35	0.02	0.05	0.02	0.110252917353403	0.004358066878770092	0.004402242968259473	0.004380154923514783	3.765221366304981	0.003860420813238008	0.0038950438835243517	0.00387773234838118
*  20 LMi A	NA	0.967	0.01	1.237	0.019	5609.0	46.0	1.363	0.014	4.25	0.02	0.2	0.02	0.13449585583467355	0.0044380844222501326	0.004483906162769308	0.00446099529250972	3.748885440009517	0.003547169251957083	0.003576380068688767	0.003561774660322925
*  21 Cas	B	1.325	0.007	1.3311	0.0061	6887.0	242.0	3.56	0.5	4.3119	0.0046	0.1	0.06	0.5514499979728752	0.05707603560431895	0.06572857149129518	0.06140230354780707	3.8380300829853202	0.014998531727669295	0.015535097706569356	0.015266814717119326
*  21 Hya	B	1.487	0.013	1.439	0.022	6960.0	210.0	4.4	1.1	4.294	0.014	0.25	0.1	0.6434526764861874	0.09691001300805646	0.1249387366082999	0.11092437480817818	3.842609239610562	0.012909916057238124	0.013305466779537145	0.013107691418387635
*  36 UMa	NA	1.113	0.022	1.105	0.02	6258.0	57.0	1.686	0.017	4.4	0.02	-0.12	0.01	0.2268575702887235	0.004357077673877496	0.004401233609476779	0.004379155641677138	3.7964355588101744	0.003937796081175282	0.0039738274632235004	0.003955811772199391
*  51 Peg	NA	1.005	0.023	1.143	0.018	5745.0	72.0	1.282	0.049	4.33	0.02	0.18	0.01	0.10788802518279862	0.016290030291876492	0.016924948587066946	0.01660748943947172	3.759290033024304	0.005409030774063517	0.0054772494596022625	0.00544314011683289
*  54 Psc	NA	0.864	0.013	0.8619	0.0084	5296.0	31.0	0.5266	0.0066	4.52	0.02	0.14	0.02	-0.2785191452299507	0.005409285971772315	0.005477511135250246	0.0054433985535112805	3.7239479764316434	0.0025347203531862483	0.0025496009101382278	0.002542160631662238
*  61 Cyg A	NA	0.695	0.007	0.6672	0.0049	4397.0	34.0	0.1499	0.004	4.63	0.01	-0.13	0.03	-0.8241983671517206	0.011436986983199282	0.01174634095482785	0.011591663969013566	3.643156465619706	0.0033452844119059577	0.003371252632886179	0.0033582685223960684
