,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,6.279535614024392,2026-06-04 16:11:04.614227,2026-06-04 16:11:05.637401,0 days 00:00:01.023174,0.15466641051699043,3,1,832,0.022425741391073287,8.100018414962328,0.9889983612197157,COMPLETE
1,1,8.147933227906519,2026-06-04 16:11:05.639325,2026-06-04 16:11:05.789763,0 days 00:00:00.150438,0.04573567820382418,5,3,55,0.26049016802494346,0.004329327617649909,0.5372166873169298,COMPLETE
2,2,6.589777709058256,2026-06-04 16:11:05.791473,2026-06-04 16:11:07.816590,0 days 00:00:02.025117,0.17134379715066156,5,6,670,0.0012806385859028791,0.00439535586047177,0.8699143394501665,COMPLETE
3,3,8.256599195279037,2026-06-04 16:11:07.818612,2026-06-04 16:11:08.827146,0 days 00:00:01.008534,0.014291773955974595,7,8,631,2.130582628881013,0.13238447535193348,0.8610022216707385,COMPLETE
4,4,6.370954380393568,2026-06-04 16:11:08.828906,2026-06-04 16:11:10.734807,0 days 00:00:01.905901,0.012801636506482483,6,6,917,0.4312331366835522,0.0013251596429777995,0.9314576946727787,COMPLETE
5,5,8.706313283148699,2026-06-04 16:11:10.736569,2026-06-04 16:11:11.331916,0 days 00:00:00.595347,0.03108019752411853,7,5,419,2.691103357814704,0.0014634716676979584,0.8377489555118036,COMPLETE
6,6,6.4570972789585905,2026-06-04 16:11:11.333945,2026-06-04 16:11:12.471165,0 days 00:00:01.137220,0.07177417031470304,3,10,993,0.31534777087855737,1.8935567489836571,0.8182460275809331,COMPLETE
7,7,6.4849840747046645,2026-06-04 16:11:12.472974,2026-06-04 16:11:13.854904,0 days 00:00:01.381930,0.07097882241296281,6,10,693,0.023101634751317716,1.5007949532970803,0.6498353816352691,COMPLETE
8,8,5.9146990716633425,2026-06-04 16:11:13.856754,2026-06-04 16:11:14.857170,0 days 00:00:01.000416,0.013895120107622711,7,4,358,0.0026146468863471528,0.09030038521914918,0.597274119711285,COMPLETE
9,9,11.22023647243271,2026-06-04 16:11:14.859069,2026-06-04 16:11:15.234686,0 days 00:00:00.375617,0.030528065429388653,4,8,282,4.835563646154122,0.04665358757333576,0.7886392449410762,COMPLETE
