ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
47_Tuc-V69 A,1,0.876,0.005,0.005,1.316,0.005,0.005,5945,150,150,1.941,0.217,0.217,-0.71,0.1,0.1,4.143,0.003,0.003,,,,3.8971687,ms,G,,eker14,0.570776255707762,0.379939209726444,2.52312867956266,11.1798042246265,EB,3.7741518589547103,0.0108218509996902,0.0110984186550955,0.2880255353883628,0.0460259049585289,0.0514882738996688,150.0,0.003,0.1,0.04875708942909885,0.005,0.005
47_Tuc-V69 B,2,0.859,0.006,0.006,1.163,0.006,0.006,5959,150,150,1.531,0.171,0.171,-0.71,0.1,0.1,4.242,0.003,0.003,,,,3.8879917,ms,G,,eker14,0.69848661233993,0.515907136715391,2.51720087262964,11.1691704768125,EB,3.775173385424787,0.0107967397072226,0.0110720089485583,0.184975190698261,0.045984365050308,0.0514362823280435,150.0,0.003,0.1,0.04871032368917575,0.006,0.006
AD_Boo A,3,1.414,0.009,0.009,1.614,0.014,0.014,6575,120,120,4.375,0.356,0.356,0.1,0.15,0.15,4.173,0.008,0.008,,,,3.4842037,ms,F,,eker14,0.636492220650636,0.867410161090458,1.82509505703422,8.13714285714286,EB,3.817895757161796,0.0078548241862321,0.0079995105593564,0.640978057358332,0.0339748906902332,0.036860051166297,120.0,0.008,0.15,0.035417470928265096,0.009,0.014
AD_Boo B,4,1.209,0.006,0.006,1.218,0.01,0.01,6145,120,120,1.901,0.164,0.164,0.1,0.15,0.15,4.351,0.007,0.007,,,,3.7660687,ms,F,,eker14,0.496277915632754,0.821018062397373,1.95280716029292,8.62703840084166,EB,3.788521887222473,0.0083991881076959,0.0085648359755672,0.2789821168654431,0.0359379391269766,0.0391822984183445,120.0,0.007,0.15,0.03756011877266055,0.006,0.01
alf_Cen A,11,1.105,0.007,0.007,1.224,0.003,0.003,5824,26,26,1.549,0.029,0.029,0.24,0.04,0.04,4.306,0.004,0.004,,,,3.9764842,ms,G,,torres10,0.633484162895928,0.245098039215686,0.446428571428571,1.87217559715946,EB,3.765221366304981,0.0019344997771995,0.001943155286002,0.1900514177592059,0.0080555811141954,0.0082078298144334,26.0,0.004,0.04,0.0081317054643144,0.007,0.003
alf_Cen B,12,0.934,0.006,0.006,0.863,0.005,0.005,5223,62,62,0.498,0.025,0.025,0.24,0.04,0.04,4.536,0.006,0.006,,,,4.3704397,ms,G,,torres10,0.642398286937901,0.579374275782155,1.18705724679303,5.02008032128514,EB,3.7179200258369938,0.0051249658064511,0.005186166767042,-0.3027706572402824,0.0212723461075567,0.0223682020219059,62.0,0.006,0.04,0.0218202740647313,0.006,0.005
BG_Ind A,24,1.428,0.008,0.008,2.29,0.017,0.017,6353,270,270,7.907,1.621,1.621,-0.2,0.1,0.1,3.86505724276038,0.0068917938020421,0.0068917938020421,,,,3.6297247,ms,F,,eker14,0.560224089635854,0.74235807860262,4.24996064851251,20.5008220564057,EB,3.8029788553352617,0.0180758997116265,0.0188610388723384,0.8980117387975016,0.0809900096772194,0.0996373621159404,270.0,0.0068917938020421,0.1,0.0903136858965799,0.008,0.017
BG_Ind B,25,1.293,0.008,0.008,1.68,0.038,0.039,6653,233,233,5.117,0.881,0.881,-0.2,0.1,0.1,4.09097996142867,0.0198295561346882,0.020341925232502,,,,3.4330747,ms,F,,eker14,0.618716163959783,2.29166666666667,3.50217946790921,17.2171194059019,EB,3.823017523446049,0.0149494949226052,0.0154824953771961,0.7090154169721172,0.0689910444513911,0.0820594655366698,233.0,0.020085740683595102,0.1,0.07552525499403046,0.008,0.0385
BW_Aqr A,34,1.479,0.02,0.02,2.057,0.04,0.04,6350,100,100,6.18,0.488,0.488,-0.07,0.11,0.11,3.981,0.019,0.019,,,,3.6316912,ms,F,,eker14,1.35226504394861,1.94457948468644,1.5748031496063,7.89644012944984,EB,3.802773725291976,0.0067859893432919,0.0068937079479001,0.7909884750888159,0.0330071160671517,0.0357235836765691,100.0,0.019,0.11,0.0343653498718604,0.02,0.04
BW_Aqr B,35,1.377,0.02,0.02,1.788,0.04,0.04,6450,100,100,4.966,0.417,0.417,-0.07,0.11,0.11,4.075,0.022,0.022,,,,3.5661412,ms,F,,eker14,1.45243282498184,2.23713646532438,1.55038759689922,8.39710028191703,EB,3.809559714635268,0.0066815853565156,0.0067859893432919,0.6960067152185455,0.0350176645971423,0.0380907783885903,100.0,0.022,0.11,0.0365542214928663,0.02,0.04
CD_Tau A,36,1.441,0.016,0.016,1.798,0.017,0.017,6200,50,50,4.285,0.171,0.171,0.08,0.15,0.15,4.087,0.01,0.01,,,,3.7300162,ms,F,,eker14,1.11034004163775,0.945494994438265,0.806451612903226,3.99066511085181,EB,3.792391689498254,0.0034883278458215,0.003516573722837,0.631950826259217,0.0169943559064555,0.0176865389005117,50.0,0.01,0.15,0.017340447403483603,0.016,0.017
CD_Tau B,37,1.366,0.016,0.016,1.584,0.02,0.02,6200,50,50,3.327,0.141,0.141,0.08,0.15,0.15,4.174,0.012,0.012,,,,3.7300162,ms,F,,eker14,1.17130307467057,1.26262626262626,0.806451612903226,4.2380522993688,EB,3.792391689498254,0.0034883278458215,0.003516573722837,0.5220528008688224,0.0180262879353502,0.0188070294037097,50.0,0.012,0.15,0.018416658669529948,0.016,0.02
CO_And A,47,1.289,0.007,0.007,1.727,0.021,0.021,6140,130,130,3.802,0.367,0.367,0.01,0.15,0.15,4.074,0.011,0.011,,,,3.7693462,ms,F,,eker14,0.543056633048875,1.21598147075854,2.11726384364821,9.65281430825881,EB,3.788168371141168,0.0090991696895486,0.0092938991384281,0.5800121125294243,0.0400197825968731,0.044085371133855,130.0,0.011,0.15,0.04205257686536405,0.007,0.021
CO_And B,48,1.264,0.007,0.007,1.694,0.017,0.017,6170,130,130,3.733,0.351,0.351,0.01,0.15,0.15,4.082,0.009,0.009,,,,3.7496812,ms,F,,eker14,0.55379746835443,1.00354191263282,2.10696920583468,9.40262523439593,EB,3.7902851640332416,0.0090553854203401,0.0092482254121097,0.5720579899263045,0.039027743488568,0.0428843866645816,130.0,0.009,0.15,0.0409560650765748,0.007,0.017
