ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,logR,elogR1,elogR2,eTeff,elogg,eFeH,eL,eM,eR,elogL,elogR,percent_eM,percent_eR
KIC5193386_A,1.39,0.03,0.03,4.49,0.05,0.05,4780.0,100.0,100.0,-0.36,0.06,0.06,,,,,3.274,0.004,0.004,0.0,9.48198,0.81981,0.79708,1.0,rgb,,44.37376129,,0.101185923,True,True,Benbakoura21,EB,3,0.9768990349421449,0.03601365768349085,0.03813421269998518,0.6522463410033232,0.004809511853780646,0.004863370888703367,100.0,0.004,0.06,0.8084450000000001,0.03,0.05,0.03707393519173802,0.004836441371242006,2.1582733812949644,1.1135857461024499
KIC9970396_A,1.178,0.015,0.015,8.035,0.074,0.074,4860.0,80.0,80.0,-0.35,0.1,0.1,,,,,2.699,0.011,0.011,0.0,32.44976,2.19035,2.16768,1.0,rgb,,207.92,0.73,0.038644671,True,True,Brogaard18,EB,3,1.5112114890851984,0.028367773368573657,0.030025786635702767,0.9049858810993634,0.003981419319024404,0.004018257180239071,80.0,0.011,0.1,2.1790149999999997,0.015,0.074,0.029196780002138212,0.0039998382496317375,1.2733446519524618,0.9209707529558182
HD187669_A,1.504,0.004,0.004,11.33,0.28,0.28,4650.0,80.0,80.0,-0.25,0.1,0.1,,,,,2.507,0.02,0.02,0.0,53.9,3.9,3.9,0.0,rgb,,120.51,0.04,0.094017094,True,True,Helminiak15,EB,3,1.7315887651867388,0.03033907323379026,0.03261876085072002,1.0542299098633972,0.01060230987517663,0.010867631842267578,80.0,0.02,0.1,3.9,0.004,0.28,0.03147891704225514,0.010734970858722104,0.26595744680851063,2.4713150926743164
HD187669_B,1.505,0.004,0.004,22.62,0.5,0.5,4330.0,70.0,70.0,-0.25,0.1,0.1,,,,,1.907,0.019,0.019,0.0,161.0,13.0,13.0,0.0,rgb,,120.51,0.04,0.187702265,True,True,Helminiak15,EB,3,2.2068258760318495,0.033723372250750394,0.03656416063689205,1.3544926005894364,0.009495229159055096,0.009707477956775845,70.0,0.019,0.1,13.0,0.004,0.5,0.03514376644382122,0.00960135355791547,0.26578073089701,2.2104332449160036
KIC10000198,1.1102,0.0454,0.0454,5.4775,0.1005,0.1005,4865.2046,55.3799,55.3799,-0.1602,0.058,0.058,,,,,3.008,0.0046,0.0046,0.0,15.7,0.8,0.63,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.1958996524092338,0.021584291804672473,0.017786400094601973,0.738582386232743,0.007896123697288093,0.00804234975562379,55.3799,0.0046,0.058,0.7150000000000001,0.0454,0.1005,0.019685345949637223,0.007969236726455942,4.089353269681138,1.834778639890461
KIC10000207,1.054,0.0406,0.0406,6.1571,0.1066,0.1066,4714.3325,46.4471,46.4471,-0.2319,0.058,0.058,,,,,2.8839,0.004,0.004,0.0,18.71,0.5,0.39,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2720737875000099,0.011453577361683731,0.009148318168178182,0.7893762072045255,0.00745474180311978,0.007584941929177358,46.4471,0.004,0.058,0.445,0.0406,0.1066,0.010300947764930957,0.007519841866148569,3.8519924098671723,1.731334556853064
KIC10000547,1.1397,0.0436,0.0436,4.8668,0.084,0.084,4939.567,49.9275,49.9275,-0.2742,0.058,0.058,,,,,3.1221,0.004,0.004,0.0,13.13,0.24,0.28,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.1182647260894794,0.007866681172504997,0.009361598422165995,0.687243499380741,0.0074318828887759425,0.007561278808259075,49.9275,0.004,0.058,0.26,0.0436,0.084,0.008614139797335496,0.007496580848517509,3.8255681319645527,1.7259801101339691
KIC10001326,1.2174,0.0469,0.0469,9.3695,0.1624,0.1624,4649.9917,45.9037,45.9037,-0.0963,0.058,0.058,,,,,2.5817,0.004,0.004,0.0,35.68,1.15,1.34,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.5524248457040855,0.013776873150827429,0.016624554879187903,0.9717164155372083,0.007463061939560145,0.007593555408169084,45.9037,0.004,0.058,1.245,0.0469,0.1624,0.015200714015007666,0.007528308673864614,3.852472482339411,1.7332835263354498
KIC10003349,1.3773,0.0531,0.0531,9.8369,0.1705,0.1705,4671.34,46.7252,46.7252,-0.0492,0.058,0.058,,,,,2.5931,0.004,0.004,0.0,41.54,2.15,1.92,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6184664921990803,0.021915552510488157,0.02055202099655218,0.9928582564587708,0.007463002606638125,0.007593493982160804,46.7252,0.004,0.058,2.035,0.0531,0.1705,0.021233786753520167,0.007528248294399464,3.855369200609889,1.7332696276265898
KIC10003497,1.1867,0.0458,0.0458,12.1523,0.2108,0.2108,4615.7476,42.5666,42.5666,-0.1903,0.058,0.058,,,,,2.3408,0.0038,0.0038,0.0,60.39207,2.8505,3.02346,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.7809799157512292,0.020029594372633852,0.02230558838304697,1.0846584822780647,0.007468899808744434,0.0075995993032591524,42.5666,0.0038,0.058,2.93698,0.0458,0.2108,0.02116759137784041,0.007534249556001793,3.85944215050139,1.734651053709997
KIC10006097,1.099,0.0422,0.0422,5.1385,0.0889,0.0889,4795.506,49.7726,49.7726,-0.0276,0.058,0.058,,,,,3.0591,0.0041,0.0041,0.0,12.58071,1.24181,0.67131,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.0997051514734038,0.04088207552466283,0.023815269356957547,0.710836360863743,0.00744937266545187,0.0075793836704355355,49.7726,0.0041,0.058,0.9565600000000001,0.0422,0.0889,0.03234867244081019,0.007514378167943703,3.8398544131028207,1.730076870682106
KIC10006828,1.0271,0.0397,0.0397,12.9303,0.2244,0.2244,4577.8745,49.5786,49.5786,-0.5819,0.058,0.058,,,,,2.2208,0.0042,0.0042,0.0,66.15573,3.81991,3.6238,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.8205674660535067,0.02437941317754566,0.02446563300029836,1.111608601201595,0.007472347014105596,0.007603168242576563,49.5786,0.0042,0.058,3.721855,0.0397,0.2244,0.02442252308892201,0.00753775762834108,3.8652516794859313,1.7354585740470057
KIC10011329,1.7032,0.0712,0.0712,12.803,0.2393,0.2393,4667.6113,43.2101,43.2101,-0.0748,0.058,0.058,,,,,2.4548,0.0042,0.0042,0.0,70.0966,3.71153,3.64571,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.8456969532441367,0.022407248953841385,0.023196151268614296,1.1073117454906738,0.008042440171144971,0.00819418786131676,43.2101,0.0042,0.058,3.67862,0.0712,0.2393,0.02280170011122784,0.008118314016230865,4.180366369187412,1.869093181285636
KIC10014893,1.4454,0.0558,0.0558,13.6504,0.2368,0.2368,4611.723,42.6746,42.6746,-0.16,0.058,0.058,,,,,2.3251,0.0039,0.0039,0.0,75.93436,2.97981,3.80843,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.8804383369196507,0.016716656153735743,0.022346910876982706,1.1351453777685327,0.007469312380078419,0.007600026441021646,42.6746,0.0039,0.058,3.39412,0.0558,0.2368,0.019531783515359225,0.007534669410550032,3.8605230386052303,1.7347476997011078
KIC10014959,1.0354,0.0399,0.0399,4.501,0.078,0.078,4713.6606,43.3549,43.3549,0.1164,0.058,0.058,,,,,3.1483,0.0038,0.0038,0.0,9.01044,0.82651,0.45027,1.0,rgb,,,,,,,Pinsonneault25,A,3,0.9547459990707716,0.03811446485873771,0.022263609472028767,0.653309012938479,0.007461630589218449,0.007592073568875146,43.3549,0.0038,0.058,0.63839,0.0399,0.078,0.030189037165383237,0.007526852079046797,3.853583156268108,1.7329482337258386
KIC10016093,1.0259,0.0396,0.0396,10.6571,0.1848,0.1848,4618.82,43.6135,43.6135,-0.4482,0.058,0.058,,,,,2.3928,0.0039,0.0039,0.0,52.78,1.46,1.31,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.722469385884031,0.011850294974975917,0.010915217633861385,1.0276390409623457,0.007466356296150112,0.007596966006509609,43.6135,0.0039,0.058,1.385,0.0396,0.1848,0.01138275630441865,0.00753166115132986,3.860025343600741,1.7340552307851105
KIC10017956,1.1297,0.0472,0.0472,10.1811,0.1902,0.1902,4695.803,48.7718,48.7718,-0.2914,0.058,0.058,,,,,2.4759,0.0044,0.0044,0.0,43.51,1.89,1.86,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.638589083292717,0.018466769564386976,0.01897407754991054,1.0077947031600445,0.00803849367653009,0.008190091067371785,48.7718,0.0044,0.058,1.875,0.0472,0.1902,0.018720423557148758,0.008114292371950937,4.178100380632026,1.8681674868138018
KIC10018811,1.2896,0.0494,0.0494,7.4742,0.1291,0.1291,4920.621,53.4464,53.4464,-0.2724,0.058,0.058,,,,,2.8031,0.0042,0.0042,0.0,29.50556,1.96601,1.61607,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4699038617339368,0.028014547061997463,0.024463289103272112,0.87356471483209,0.007437411755435885,0.007567001955296915,53.4464,0.0042,0.058,1.79104,0.0494,0.1291,0.026238918082634788,0.0075022068553664,3.830645161290322,1.727275159883332
KIC10018923,1.3219,0.0511,0.0511,10.6033,0.1842,0.1842,4533.994,40.4063,40.4063,0.1668,0.058,0.058,,,,,2.5094,0.0038,0.0038,0.0,42.8056,2.40422,2.10726,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.6315005888731373,0.02373218904896124,0.02192389324846644,1.0254410491089694,0.007479759614296588,0.007610842805219287,40.4063,0.0038,0.058,2.2557400000000003,0.0511,0.1842,0.02282804114871384,0.0075453012097579375,3.865647931008397,1.7371950241905822
KIC10023322,1.3192,0.051,0.051,12.9936,0.2256,0.2256,4556.281,47.744,47.744,-0.1265,0.058,0.058,,,,,2.3284,0.0041,0.0041,0.0,68.6,6.12,3.47,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.8363241157067516,0.03711274751528526,0.022543037532669175,1.1137294931460937,0.007475680150398345,0.007606619139439497,47.744,0.0041,0.058,4.795,0.051,0.2256,0.029827892523977217,0.007541149644918921,3.865979381443299,1.7362393793867748
KIC10023439,1.1444,0.0442,0.0442,7.7954,0.1352,0.1352,4613.572,44.8278,44.8278,0.0195,0.058,0.058,,,,,2.7147,0.004,0.004,0.0,24.80394,3.47263,1.27675,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.3945206721306287,0.05690605546888983,0.022950612373618062,0.891838404750743,0.007467640931521191,0.007598295984657111,44.8278,0.004,0.058,2.37469,0.0442,0.1352,0.039928333921253945,0.007532968458089151,3.862285914016078,1.7343561587602945
KIC10023978,1.0877,0.0433,0.0433,28.321,0.5071,0.5071,4243.3794,39.2618,39.2618,-0.1777,0.058,0.058,,,,,1.5441,0.0038,0.0038,0.0,234.29301,9.26165,11.92772,1.0,rgb,,,,,,,Pinsonneault25,A,3,2.3697593318589667,0.0168371116071242,0.022692334641024825,1.4521085840041175,0.007707435882970293,0.007846695113810975,39.2618,0.0038,0.058,10.594685,0.0433,0.5071,0.019764723124074512,0.007777065498390634,3.9808770800772275,1.7905441192048304
KIC10024460,1.0453,0.0405,0.0405,10.096,0.1754,0.1754,4500.951,44.8951,44.8951,-0.1482,0.058,0.058,,,,,2.4492,0.004,0.004,0.0,37.68865,1.73901,1.96969,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5762105813856364,0.019590421423223647,0.023311775985379368,1.0041493419000591,0.007480300415476426,0.007611402728832428,44.8951,0.004,0.058,1.85435,0.0405,0.1754,0.021451098704301508,0.007545851572154427,3.8744857935520907,1.737321711568938
KIC10025321,1.6044,0.0615,0.0615,6.4224,0.111,0.111,4857.205,52.8011,52.8011,-0.0266,0.058,0.058,,,,,3.0297,0.0042,0.0042,0.0,20.68403,1.10663,1.13372,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.3156351589987465,0.022635225447471985,0.02448151081049299,0.8076973508073915,0.007441897383158147,0.007571645313687703,52.8011,0.0042,0.058,1.1201750000000001,0.0615,0.111,0.023558368128982488,0.007506771348422925,3.8332086761406132,1.7283258594917787
KIC10025387,1.2804,0.0492,0.0492,5.5569,0.0961,0.0961,4794.343,49.8942,49.8942,0.0428,0.058,0.058,,,,,3.0575,0.0041,0.0041,0.0,14.96,0.2,0.19,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.1749315935284426,0.005767607767592109,0.005551098216493022,0.7448325814463548,0.007446404013763841,0.0075763105117911955,49.8942,0.0041,0.058,0.195,0.0492,0.0961,0.005659352992042566,0.007511357262777518,3.8425492033739457,1.729381489679498
KIC10026795,1.2783,0.0493,0.0493,9.5042,0.1647,0.1647,4669.4688,46.2399,46.2399,-0.1102,0.058,0.058,,,,,2.5905,0.004,0.004,0.0,38.68974,3.38677,2.01168,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5875958112166004,0.03644389923994695,0.023189454599651826,0.9779155667346009,0.0074615018568156,0.007591940296097555,46.2399,0.004,0.058,2.699225,0.0493,0.1647,0.02981667691979939,0.007526721076456577,3.8566846593131503,1.7329180783232676
KIC10027559,1.6571,0.0642,0.0642,20.7479,0.3626,0.3626,4549.2803,48.7175,48.7175,-0.3355,0.058,0.058,,,,,2.0107,0.0041,0.0041,0.0,166.11689,7.50304,9.06404,1.0,rgb,,,,,,,Pinsonneault25,A,3,2.22041379175832,0.019185785028116964,0.02436796991559609,1.3169741461292952,0.007524373519876004,0.007657039005045441,48.7175,0.0041,0.058,8.28354,0.0642,0.3626,0.021776877471856526,0.0075907062624607224,3.8742381268481076,1.7476467497915449
KIC10028634,1.4618,0.056,0.056,7.2163,0.1247,0.1247,4898.4126,47.5316,47.5316,-0.1724,0.058,0.058,,,,,2.8881,0.004,0.004,0.0,24.96,1.19,1.15,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3972445810103864,0.020227112192906738,0.020485185605506384,0.8583145796386974,0.007440644432754273,0.007570348295254936,47.5316,0.004,0.058,1.17,0.056,0.1247,0.02035614889920656,0.007505496364004605,3.830893419072377,1.7280323711597356
KIC10030646,1.5236,0.0636,0.0636,5.835,0.1089,0.1089,4790.1665,46.7835,46.7835,0.2007,0.058,0.058,,,,,3.0906,0.0043,0.0043,0.0,16.15024,0.9113,0.8621,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.2081789805309728,0.023839248136239055,0.023824329446531234,0.766040860381389,0.00803063387491254,0.00818193215704488,46.7835,0.0043,0.058,0.8867,0.0636,0.1089,0.023831788791385144,0.00810628301597871,4.174323969545813,1.8663239074550129
KIC10031856,1.532,0.0594,0.0594,15.9474,0.2773,0.2773,4468.524,40.0144,40.0144,0.0751,0.058,0.058,,,,,2.2122,0.0038,0.0038,0.0,88.51,2.64,2.55,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.9469923407483722,0.012764332242622967,0.012695933928966507,1.2026898875376977,0.00748678776219136,0.007618119575194537,40.0144,0.0038,0.058,2.5949999999999998,0.0594,0.2773,0.012730133085794737,0.007552453668692949,3.8772845953002615,1.7388414412380702
KIC10033231,1.6912,0.0649,0.0649,6.4134,0.1109,0.1109,4835.053,44.711,44.711,0.2259,0.058,0.058,,,,,3.0538,0.0039,0.0039,0.0,17.93,0.29,0.35,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2535802895621828,0.006968083074796683,0.008561418824429845,0.8070883274543217,0.00744559507778364,0.007575473105838171,44.711,0.0039,0.058,0.31999999999999995,0.0649,0.1109,0.007764750949613264,0.007510534091810905,3.837511825922422,1.7291920042411202
KIC10053392,1.1293,0.0437,0.0437,7.2214,0.1254,0.1254,4520.7476,53.7194,53.7194,0.2879,0.058,0.058,,,,,2.7753,0.0045,0.0045,0.0,19.6,0.68,0.67,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2922560713564761,0.014811879304822195,0.015105457392679433,0.8586214016324819,0.007476815688601035,0.007607794808811907,53.7194,0.0045,0.058,0.675,0.0437,0.1254,0.014958668348750814,0.007542305248706471,3.869653767820774,1.736505386767109
