ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,eTeff,elogg,eFeH,eL,eM,eR,percent_eM,percent_eR,percent_eL
KIC7037405_B,1.11,0.011,0.011,1.746,0.014,0.014,6094.0,138.0,148.0,-0.27,0.1,0.1,,,,,3.999,0.0071,0.0071,0.0,3.78785,0.80815,0.3599,1.0,ms,,193.8,0.89,0.009009288,True,True,Brogaard18,EB,3,143.0,0.0071,0.1,0.584025,0.011,0.014,0.9909909909909907,0.8018327605956472,15.418377179666566
KIC9540226_B,1.002,0.015,0.015,1.014,0.014,0.014,6157.0,131.0,131.0,-0.23,0.1,0.1,,,,,4.427,0.1,0.1,0.0,1.33121,0.23289,0.11564,1.0,ms,,176.0,1.3,0.005761364,True,True,Brogaard18,EB,3,131.0,0.1,0.1,0.174265,0.015,0.014,1.4970059880239521,1.3806706114398424,13.090721974744781
KIC9970397_B,1.003,0.0085,0.0085,1.1089,0.0052,0.0052,6221.0,125.0,125.0,-0.35,0.1,0.1,,,,,4.3493,0.0054,0.0054,0.0,1.65928,0.16483,0.13032,1.0,ms,,207.92,0.73,0.005333301,True,True,Brogaard18,EB,3,125.0,0.0054,0.1,0.147575,0.0085,0.0052,0.8474576271186443,0.46893317702227433,8.893917843884093
KIC10709834,1.39,0.04,0.03,1.76,0.03,0.02,6508.0,84.0,84.0,-0.08,0.09,0.09,,,,,4.092,0.01,0.01,,5.709,0.462955304,0.462955304,,ms,F,,,,,,C14bruntt,A,1,84.0,0.01,0.09,0.462955304,0.035,0.025,2.5179856115107917,1.4204545454545454,8.109218847433878
KIC1430163,1.34,0.06,0.06,1.48,0.03,0.03,6520.0,84.0,84.0,-0.11,0.09,0.09,,,,,4.221,0.013,0.014,,3.592,0.288982235,0.288982235,,ms,F,,,,,,C14bruntt,A,1,84.0,0.0135,0.09,0.288982235,0.06,0.03,4.477611940298507,2.027027027027027,8.045162444320711
KIC5021689,1.22,0.08,0.07,1.79,0.04,0.04,6168.0,84.0,84.0,-0.08,0.09,0.09,,,,,4.016,0.011,0.01,,4.306,0.358627328,0.358627328,,ms,F,,,,,,C14bruntt,A,1,84.0,0.010499999999999999,0.09,0.358627328,0.07500000000000001,0.04,6.147540983606558,2.2346368715083798,8.328549187180679
KIC5450445,1.39,0.07,0.06,1.99,0.04,0.04,6112.0,84.0,84.0,0.05,0.09,0.09,,,,,3.985,0.009,0.009,,5.484,0.465478939,0.465478939,,ms,F,,,,,,C14bruntt,A,1,84.0,0.009,0.09,0.465478939,0.065,0.04,4.676258992805756,2.0100502512562812,8.48794564186725
KIC5774694,1.06,0.05,0.06,1.0,0.03,0.03,5875.0,84.0,84.0,0.07,0.09,0.09,,,,,4.463,0.017,0.019,,0.953,0.061686383,0.061686383,,ms,G,,,,,,C14bruntt,A,1,84.0,0.018000000000000002,0.09,0.061686383,0.055,0.03,5.188679245283018,3.0,6.472862854144806
KIC6442183,1.08,0.05,0.05,1.71,0.03,0.03,5760.0,84.0,84.0,-0.11,0.09,0.09,,,,,4.006,0.009,0.008,,2.577,0.22061138,0.22061138,,ms,G,,,,,,C14bruntt,A,1,84.0,0.0085,0.09,0.22061138,0.05,0.03,4.62962962962963,1.7543859649122808,8.560783081102057
KIC9226926,1.39,0.05,0.04,1.64,0.03,0.03,6892.0,84.0,84.0,-0.23,0.09,0.09,,,,,4.151,0.013,0.012,,4.548,0.365619369,0.365619369,,ms,F,,,,,,C14bruntt,A,1,84.0,0.0125,0.09,0.365619369,0.045,0.03,3.2374100719424463,1.829268292682927,8.039124208443273
