ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,eTeff,elogg,eFeH,eL,eM,eR,elogL,percent_eM,percent_eR
mu._Cas_A,0.744,0.0122,0.0122,0.789,0.008,0.008,5306.0,31.0,31.0,-0.81,0.03,0.03,,,,,4.515,0.011,0.011,0.0,0.445,0.005,0.005,0.0,ms,G5,1618.559515,,0.00048747,True,True,Bond20,EB,3,-0.3516399890190684,0.0048525027944120724,0.0049073344947441755,31.0,0.011,0.03,0.005,0.0122,0.008,0.004879918644578124,1.639784946236559,1.0139416983523448
KIC7037405_B,1.11,0.011,0.011,1.746,0.014,0.014,6094.0,138.0,148.0,-0.27,0.1,0.1,,,,,3.999,0.0071,0.0071,0.0,3.78785,0.80815,0.3599,1.0,ms,,193.8,0.89,0.009009288,True,True,Brogaard18,EB,3,0.578392772479564,0.08398724753668363,0.043358293791547986,143.0,0.0071,0.1,0.584025,0.011,0.014,0.06367277066411581,0.9909909909909907,0.8018327605956472
KIC9540226_B,1.002,0.015,0.015,1.014,0.014,0.014,6157.0,131.0,131.0,-0.23,0.1,0.1,,,,,4.427,0.1,0.1,0.0,1.33121,0.23289,0.11564,1.0,ms,,176.0,1.3,0.005761364,True,True,Brogaard18,EB,3,0.12424657136289495,0.07001794466262228,0.03946659811493551,131.0,0.1,0.1,0.174265,0.015,0.014,0.05474227138877889,1.4970059880239521,1.3806706114398424
KIC9970397_B,1.003,0.0085,0.0085,1.1089,0.0052,0.0052,6221.0,125.0,125.0,-0.35,0.1,0.1,,,,,4.3493,0.0054,0.0054,0.0,1.65928,0.16483,0.13032,1.0,ms,,207.92,0.73,0.005333301,True,True,Brogaard18,EB,3,0.21991967848625152,0.04113134572136626,0.03552355475248645,125.0,0.0054,0.1,0.147575,0.0085,0.0052,0.03832745023692635,0.8474576271186443,0.46893317702227433
KIC10709834,1.39,0.04,0.03,1.76,0.03,0.02,6508.0,84.0,84.0,-0.08,0.09,0.09,,,,,4.092,0.01,0.01,,5.709,0.462955304,0.462955304,,ms,F,,,,,,C14bruntt,A,1,0.7565600430066829,0.03386272932667522,0.03672805657250233,84.0,0.01,0.09,0.462955304,0.035,0.025,0.03529539294958878,2.5179856115107917,1.4204545454545454
KIC1430163,1.34,0.06,0.06,1.48,0.03,0.03,6520.0,84.0,84.0,-0.11,0.09,0.09,,,,,4.221,0.013,0.014,,3.592,0.288982235,0.288982235,,ms,F,,,,,,C14bruntt,A,1,0.5553363279952668,0.03360532678826045,0.03642541848165359,84.0,0.0135,0.09,0.288982235,0.06,0.03,0.03501537263495702,4.477611940298507,2.027027027027027
KIC5021689,1.22,0.08,0.07,1.79,0.04,0.04,6168.0,84.0,84.0,-0.08,0.09,0.09,,,,,4.016,0.011,0.01,,4.306,0.358627328,0.358627328,,ms,F,,,,,,C14bruntt,A,1,0.6340740254874684,0.03474292680548541,0.03776589535422625,84.0,0.010499999999999999,0.09,0.358627328,0.07500000000000001,0.04,0.03625441107985583,6.147540983606558,2.2346368715083798
KIC5450445,1.39,0.07,0.06,1.99,0.04,0.04,6112.0,84.0,84.0,0.05,0.09,0.09,,,,,3.985,0.009,0.009,,5.484,0.465478939,0.465478939,,ms,F,,,,,,C14bruntt,A,1,0.7390974461174751,0.03538148535455954,0.038521695043855164,84.0,0.009,0.09,0.465478939,0.065,0.04,0.03695159019920735,4.676258992805756,2.0100502512562812
KIC5774694,1.06,0.05,0.06,1.0,0.03,0.03,5875.0,84.0,84.0,0.07,0.09,0.09,,,,,4.463,0.017,0.019,,0.953,0.061686383,0.061686383,,ms,G,,,,,,C14bruntt,A,1,-0.02090709936167361,0.02723893158244398,0.029062359151703545,84.0,0.018000000000000002,0.09,0.061686383,0.055,0.03,0.028150645367073762,5.188679245283018,3.0
KIC5939450,1.53,0.1,0.09,2.88,0.07,0.06,6282.0,84.0,84.0,-0.18,0.09,0.09,,,,,3.701,0.017,0.013,,11.37,0.908440115,0.908440115,,ms,F,,,,,,C14bruntt,A,1,1.0557604646877348,0.03338273172013784,0.03616401926361257,84.0,0.015,0.09,0.908440115,0.095,0.065,0.0347733754918752,6.209150326797386,2.2569444444444446
KIC6442183,1.08,0.05,0.05,1.71,0.03,0.03,5760.0,84.0,84.0,-0.11,0.09,0.09,,,,,4.006,0.009,0.008,,2.577,0.22061138,0.22061138,,ms,G,,,,,,C14bruntt,A,1,0.41111441855090475,0.03567296735778713,0.03886750187412363,84.0,0.0085,0.09,0.22061138,0.05,0.03,0.03727023461595538,4.62962962962963,1.7543859649122808
KIC9226926,1.39,0.05,0.04,1.64,0.03,0.03,6892.0,84.0,84.0,-0.23,0.09,0.09,,,,,4.151,0.013,0.012,,4.548,0.365619369,0.365619369,,ms,F,,,,,,C14bruntt,A,1,0.6578204560156972,0.03358105503242559,0.036396901369382784,84.0,0.0125,0.09,0.365619369,0.045,0.03,0.034988978200904186,3.2374100719424463,1.829268292682927
KIC10130724,0.85,0.15,0.09,1.08,0.06,0.04,5648.0,70.0,70.0,0.32,0.15,0.15,,,,,4.306,0.022,0.016,,4.802,1.391686439,1.391686439,,ms,G,,,,,,C14sdss,A,1,0.6814221557210085,0.11052705930378837,0.14862784372222948,70.0,0.019,0.15,1.391686439,0.12,0.05,0.12957745151300892,14.117647058823529,4.62962962962963
KIC10202294,1.18,0.21,0.11,1.88,0.08,0.07,5803.0,66.0,66.0,0.36,0.1,0.1,,,,,3.961,0.026,0.015,,4.243,0.366465826,0.366465826,,ms,G,,,,,,C14sdss,A,1,0.6276730317666159,0.03597756775270222,0.039229414874940916,66.0,0.020499999999999997,0.1,0.366465826,0.16,0.07500000000000001,0.03760349131382157,13.559322033898306,3.98936170212766
KIC10290021,1.37,0.13,0.11,2.05,0.06,0.07,6215.0,56.0,56.0,0.06,0.15,0.1,,,,,3.955,0.014,0.015,,6.234,0.534000492,0.534000492,,ms,F,,,,,,C14sdss,A,1,0.7947667979408211,0.03569358366119768,0.0388919797548023,56.0,0.014499999999999999,0.125,0.534000492,0.12,0.065,0.03729278170799999,8.75912408759124,3.1707317073170733
KIC10858780,0.92,0.14,0.11,1.43,0.1,0.08,5672.0,60.0,60.0,-0.16,0.15,0.1,,,,,4.086,0.023,0.023,,2.386,0.210801879,0.210801879,,ms,G,,,,,,C14sdss,A,1,0.3776704393343231,0.03676837739576805,0.04017161991104151,60.0,0.023,0.125,0.210801879,0.125,0.09,0.03846999865340478,13.586956521739129,6.293706293706294
KIC11075456,1.29,0.11,0.17,1.48,0.05,0.07,6513.0,58.0,58.0,-0.2,0.3,0.2,,,,,4.207,0.018,0.02,,3.247,0.263707259,0.263707259,,ms,F,,,,,,C14sdss,A,1,0.5114822886260014,0.03391232862020965,0.03678641724080517,58.0,0.019,0.25,0.263707259,0.14,0.060000000000000005,0.03534937293050741,10.852713178294575,4.054054054054054
KIC11098033,1.38,0.21,0.14,2.26,0.12,0.09,6358.0,66.0,66.0,-0.14,0.2,0.15,,,,,3.877,0.024,0.027,,6.502,0.578005387,0.578005387,,ms,F,,,,,,C14sdss,A,1,0.8130469651601079,0.03698662297365607,0.04043231023758087,66.0,0.025500000000000002,0.175,0.578005387,0.175,0.105,0.03870946660561847,12.681159420289855,4.646017699115045
KIC11133100,1.4,0.25,0.17,2.37,0.14,0.13,6222.0,51.0,51.0,0.0,0.15,0.15,,,,,3.849,0.025,0.027,,15.06,1.32370116,1.32370116,,ms,F,,,,,,C14sdss,A,1,1.1778249718646818,0.036587045937731766,0.03995524131700545,51.0,0.026000000000000002,0.15,1.32370116,0.21000000000000002,0.135,0.03827114362736861,15.000000000000004,5.69620253164557
KIC11189107,1.52,0.18,0.15,2.26,0.13,0.1,6795.0,94.0,94.0,-0.1,0.15,0.1,,,,,3.909,0.027,0.026,,10.05,0.864098657,0.864098657,,ms,F,,,,,,C14sdss,A,1,1.0021660617565078,0.03582181347374647,0.0390442849921282,94.0,0.0265,0.125,0.864098657,0.16499999999999998,0.115,0.03743304923293733,10.855263157894735,5.0884955752212395
KIC11229052,1.27,0.12,0.15,1.48,0.05,0.07,6495.0,51.0,51.0,-0.02,0.15,0.15,,,,,4.198,0.015,0.017,,3.473,0.296828764,0.296828764,,ms,F,,,,,,C14sdss,A,1,0.5407047833107623,0.03561684049215219,0.038800874931897655,51.0,0.016,0.15,0.296828764,0.135,0.060000000000000005,0.03720885771202492,10.62992125984252,4.054054054054054
KIC11453915,1.25,0.06,0.09,1.22,0.03,0.03,6608.0,58.0,58.0,-0.12,0.15,0.15,,,,,4.359,0.011,0.013,,2.146,0.178748413,0.178748413,,ms,F,,,,,,C14sdss,A,1,0.33162971762993226,0.034746242280822404,0.037769813298373145,58.0,0.012,0.15,0.178748413,0.075,0.03,0.036258027789597774,6.0,2.459016393442623
KIC11456910,1.3,0.11,0.17,1.71,0.07,0.08,6386.0,61.0,61.0,-0.26,0.15,0.15,,,,,4.082,0.019,0.02,,3.678,0.320896125,0.320896125,,ms,F,,,,,,C14sdss,A,1,0.5656117249020587,0.03632839817989508,0.03964694557201731,61.0,0.0195,0.15,0.320896125,0.14,0.07500000000000001,0.0379876718759562,10.76923076923077,4.385964912280702
KIC11502597,1.08,0.19,0.11,1.61,0.11,0.07,5798.0,59.0,59.0,-0.1,0.15,0.1,,,,,4.061,0.012,0.012,,2.332,0.208250395,0.208250395,,ms,G,,,,,,C14sdss,A,1,0.36772854608697647,0.037147981480623204,0.040625234985076975,59.0,0.012,0.125,0.208250395,0.15,0.09,0.03888660823285009,13.888888888888888,5.590062111801242
KIC11708273,1.07,0.18,0.12,1.56,0.09,0.07,5959.0,96.0,96.0,0.24,0.15,0.1,,,,,4.081,0.023,0.022,,3.277,0.28619582,0.28619582,,ms,G,,,,,,C14sdss,A,1,0.5154764413823758,0.03636324883520303,0.03968846242977958,96.0,0.0225,0.125,0.28619582,0.15,0.08,0.03802585563249131,14.018691588785046,5.128205128205128
KIC11757831,1.42,0.14,0.1,1.82,0.07,0.06,6754.0,70.0,70.0,-0.02,0.15,0.2,,,,,4.07,0.014,0.014,,7.031,0.617434134,0.617434134,,ms,F,,,,,,C14sdss,A,1,0.8470170979353542,0.03655543309126341,0.03991753872298598,70.0,0.014,0.175,0.617434134,0.12000000000000001,0.065,0.038236485907124695,8.450704225352114,3.571428571428571
KIC11862119,1.17,0.15,0.13,1.52,0.09,0.08,6271.0,56.0,56.0,-0.38,0.15,0.15,,,,,4.141,0.018,0.018,,2.733,0.242536025,0.242536025,,ms,F,,,,,,C14sdss,A,1,0.4366396316926607,0.036925580970327054,0.04035936772498816,56.0,0.018,0.15,0.242536025,0.14,0.08499999999999999,0.03864247434765761,11.965811965811968,5.592105263157895
KIC11919192,1.6,0.15,0.19,2.29,0.1,0.11,6788.0,81.0,81.0,-0.28,0.2,0.15,,,,,3.919,0.019,0.02,,9.2,0.763354241,0.763354241,,ms,F,,,,,,C14sdss,A,1,0.9637878273455552,0.0346177443231499,0.037618013172729614,81.0,0.0195,0.175,0.763354241,0.16999999999999998,0.10500000000000001,0.03611787874793976,10.625,4.585152838427948
KIC11962180,1.35,0.14,0.15,1.97,0.1,0.1,6329.0,80.0,80.0,0.06,0.15,0.1,,,,,3.979,0.016,0.018,,6.241,0.547604773,0.547604773,,ms,F,,,,,,C14sdss,A,1,0.7952541825808829,0.03652634256108578,0.039882849648064544,80.0,0.017,0.125,0.547604773,0.14500000000000002,0.1,0.03820459610457516,10.74074074074074,5.0761421319796955
KIC11971746,1.11,0.1,0.17,1.35,0.05,0.08,5952.0,75.0,75.0,0.18,0.15,0.15,,,,,4.215,0.018,0.021,,2.284,0.187851532,0.187851532,,ms,G,,,,,,C14sdss,A,1,0.3586960995738104,0.034326282389281704,0.03727405954952534,75.0,0.0195,0.15,0.187851532,0.135,0.065,0.03580017096940352,12.162162162162161,4.814814814814815
KIC12011630,0.85,0.12,0.08,0.99,0.05,0.03,5817.0,85.0,85.0,-0.08,0.15,0.15,,,,,4.383,0.018,0.015,,1.085,0.096706057,0.096706057,,ms,G,,,,,,C14sdss,A,1,0.0354297381845483,0.03707972338719009,0.04054360449092957,85.0,0.0165,0.15,0.096706057,0.1,0.04,0.038811663939059826,11.764705882352942,4.040404040404041
KIC12055375,1.04,0.16,0.12,1.54,0.1,0.08,5991.0,75.0,75.0,-0.34,0.2,0.1,,,,,4.081,0.025,0.026,,2.481,0.210149961,0.210149961,,ms,G,,,,,,C14sdss,A,1,0.3946267642722091,0.035311134688200796,0.03843830877777976,75.0,0.025500000000000002,0.15000000000000002,0.210149961,0.14,0.09,0.03687472173299028,13.461538461538463,5.844155844155844
KIC12156916,1.28,0.14,0.16,1.58,0.06,0.07,6546.0,56.0,56.0,-0.42,0.2,0.15,,,,,4.146,0.015,0.018,,3.54,0.309113868,0.309113868,,ms,F,,,,,,C14sdss,A,1,0.5490032620257879,0.0363574969546403,0.03968160983157065,56.0,0.0165,0.175,0.309113868,0.15000000000000002,0.065,0.038019553393105476,11.718750000000002,4.113924050632911
KIC12253255,1.48,0.16,0.14,2.27,0.11,0.09,6457.0,64.0,64.0,0.1,0.2,0.1,,,,,3.89,0.018,0.018,,9.183,0.787558936,0.787558936,,ms,F,,,,,,C14sdss,A,1,0.9629845843169971,0.035734920636232737,0.03894106709134093,64.0,0.018,0.15000000000000002,0.787558936,0.15000000000000002,0.1,0.037337993863786834,10.135135135135137,4.405286343612334
KIC12304142,1.36,0.09,0.11,1.83,0.04,0.05,6186.0,56.0,56.0,0.06,0.15,0.1,,,,,4.045,0.012,0.013,,4.448,0.382339102,0.382339102,,ms,F,,,,,,C14sdss,A,1,0.6481647785740011,0.03581284181683064,0.03903362568586821,56.0,0.0125,0.125,0.382339102,0.1,0.045,0.03742323375134943,7.352941176470588,2.459016393442623
KIC12507240,1.37,0.11,0.1,1.94,0.06,0.06,6157.0,97.0,97.0,0.02,0.2,0.15,,,,,4.001,0.015,0.015,,4.666,0.394698516,0.394698516,,ms,F,,,,,,C14sdss,A,1,0.6689447344577338,0.0352657311384329,0.03838450786429415,97.0,0.015,0.175,0.394698516,0.10500000000000001,0.06,0.036825119501363524,7.664233576642337,3.0927835051546393
KIC12735580,1.17,0.2,0.12,1.81,0.1,0.08,6170.0,64.0,64.0,0.06,0.15,0.15,,,,,3.994,0.03,0.029,,4.369,0.387567902,0.387567902,,ms,F,,,,,,C14sdss,A,1,0.6403820447095684,0.03691165615317038,0.04034273133205557,64.0,0.0295,0.15,0.387567902,0.16,0.09,0.038627193742612975,13.675213675213676,4.972375690607735
KIC1725815,1.43,0.15,0.11,2.02,0.08,0.08,6550.0,82.0,82.0,-0.08,0.15,0.1,,,,,3.982,0.014,0.014,,6.845,0.587496081,0.587496081,,ms,F,,,,,,C14sdss,A,1,0.8353734524700088,0.035761236412614306,0.038972322196213605,82.0,0.014,0.125,0.587496081,0.13,0.08,0.037366779304413955,9.090909090909092,3.9603960396039604
