,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,3.936048775541382,2026-06-04 16:31:36.633639,2026-06-04 16:31:41.092347,0 days 00:00:04.458708,0.0952097639341162,6,4,531,0.001986849456220248,0.0028519686683389873,0.714114477686338,COMPLETE
1,1,8.330652237477292,2026-06-04 16:31:41.098019,2026-06-04 16:31:42.486896,0 days 00:00:01.388877,0.11067783657717511,7,2,378,4.128298052618256,0.5871001390859376,0.564740477859679,COMPLETE
2,2,9.322708771936371,2026-06-04 16:31:42.492526,2026-06-04 16:31:44.882667,0 days 00:00:02.390141,0.06578441251837458,9,6,798,5.980969735877152,0.0022615529108356257,0.6827677191461075,COMPLETE
3,3,3.8526260826927397,2026-06-04 16:31:44.888055,2026-06-04 16:31:51.095972,0 days 00:00:06.207917,0.06385569074474724,8,2,507,0.023821876979449364,1.3959822994219355,0.6444768439375258,COMPLETE
4,4,4.446367906522463,2026-06-04 16:31:51.101298,2026-06-04 16:31:54.987261,0 days 00:00:03.885963,0.012258225833510248,5,10,713,0.24993162642552563,0.18115066502668248,0.5072436393895525,COMPLETE
5,5,9.045117901006297,2026-06-04 16:31:54.989113,2026-06-04 16:31:55.314537,0 days 00:00:00.325424,0.1837669534835736,6,4,176,6.365577976810749,0.0072016105910197555,0.8856673806761903,COMPLETE
6,6,16.110354494900232,2026-06-04 16:31:55.316640,2026-06-04 16:31:55.500903,0 days 00:00:00.184263,0.022152399945580496,5,10,66,0.17214600011203862,7.688831822422397,0.9207530985261758,COMPLETE
7,7,4.0551671051102325,2026-06-04 16:31:55.502816,2026-06-04 16:31:58.886928,0 days 00:00:03.384112,0.019908574259186,8,4,763,0.22678878219027476,2.9783884896358264,0.8735475584888317,COMPLETE
8,8,3.865664127771827,2026-06-04 16:31:58.889203,2026-06-04 16:31:59.545871,0 days 00:00:00.656668,0.07840949979622615,8,4,134,0.02168872687596236,0.0035824454923439886,0.9092626351827097,COMPLETE
9,9,3.989572348211864,2026-06-04 16:31:59.547987,2026-06-04 16:32:00.980893,0 days 00:00:01.432906,0.1482369226400299,9,5,572,0.0018081078778303603,0.02118042988604951,0.8310349287552035,COMPLETE
