ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	eTeff	elogg	eFeH	eL	elogL	eM	eR	percent_eL	percent_elogL	percent_eM	percent_eR	percent_eTeff	percent_elogg	percent_eFeH	logTeff	elogTeff1	elogTeff2	logM	elogM1	elogM2
mu._Cas_A	0.744	0.0122	0.0122	0.789	0.008	0.008	5306.0	31.0	31.0	-0.81	0.03	0.03	NA	NA	NA	NA	4.515	0.011	0.011	0.0	0.445	0.005	0.005	0.0	MS	G5	1618.559515	NA	0.00048747	True	True	Bond20	EB	3	-0.3516399890190684	0.0048525027944120724	0.0049073344947441755	31.0	0.011	0.03	0.005	0.004879918644578124	0.0122	0.008	1.1235955056179776	1.3877598671843607	1.639784946236559	1.0139416983523448	0.5842442517904259	0.24363233665559245	-3.7037037037037033	3.7247672456463103	0.0025299571572769963	0.0025447816765802322	-0.1284270644541213	0.007063737480638099	0.0071805303952900135
KIC7037405_B	1.11	0.011	0.011	1.746	0.014	0.014	6094.0	138.0	148.0	-0.27	0.1	0.1	NA	NA	NA	NA	3.999	0.0071	0.0071	0.0	3.78785	0.80815	0.3599	1.0	MS	NA	193.8	0.89	0.009009288	True	True	Brogaard18	EB	3	0.578392772479564	0.08398724753668363	0.043358293791547986	143.0	0.0071	0.1	0.584025	0.06367277066411581	0.011	0.014	15.418377179666566	11.008569555797054	0.9909909909909907	0.8018327605956472	2.3465703971119134	0.17754438609652415	-37.03703703703704	3.784902449886655	0.009724994777853269	0.010677545017735657	0.045322978786657475	0.004282633808315672	0.004325286363166828
KIC9540226_B	1.002	0.015	0.015	1.014	0.014	0.014	6157.0	131.0	131.0	-0.23	0.1	0.1	NA	NA	NA	NA	4.427	0.1	0.1	0.0	1.33121	0.23289	0.11564	1.0	MS	NA	176.0	1.3	0.005761364	True	True	Brogaard18	EB	3	0.12424657136289495	0.07001794466262228	0.03946659811493551	131.0	0.1	0.1	0.174265	0.05474227138877889	0.015	0.014	13.090721974744781	44.05938191154557	1.4970059880239521	1.3806706114398424	2.127659574468085	2.25886604924328	-43.47826086956522	3.7893691535914815	0.009143379439870092	0.009340026254143208	0.0008677215312269133	0.006453231391517643	0.006550568861590186
KIC9970397_B	1.003	0.0085	0.0085	1.1089	0.0052	0.0052	6221.0	125.0	125.0	-0.35	0.1	0.1	NA	NA	NA	NA	4.3493	0.0054	0.0054	0.0	1.65928	0.16483	0.13032	1.0	MS	NA	207.92	0.73	0.005333301	True	True	Brogaard18	EB	3	0.21991967848625152	0.04113134572136626	0.03552355475248645	125.0	0.0054	0.1	0.147575	0.03832745023692635	0.0085	0.0052	8.893917843884093	17.427931188669152	0.8474576271186443	0.46893317702227433	2.009323259926057	0.12415791046835123	-28.571428571428573	3.7938602013426697	0.008639866421723763	0.008815243011125684	0.001300933020418072	0.0036649540864053536	0.0036961455599637213
KIC10709834	1.39	0.04	0.03	1.76	0.03	0.02	6508.0	84.0	84.0	-0.08	0.09	0.09	NA	NA	NA	NA	4.092	0.01	0.01	NA	5.709	0.462955304	0.462955304	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.7565600430066829	0.03386272932667522	0.03672805657250233	84.0	0.01	0.09	0.462955304	0.03529539294958878	0.035	0.025	8.109218847433878	4.665246767370848	2.5179856115107917	1.4204545454545454	1.290719114935464	0.2443792766373412	-112.5	3.8134475442648212	0.005569654424238291	0.005642011994196672	0.14301480025409505	0.012321237210966757	0.009475891883877569
KIC1430163	1.34	0.06	0.06	1.48	0.03	0.03	6520.0	84.0	84.0	-0.11	0.09	0.09	NA	NA	NA	NA	4.221	0.013	0.014	NA	3.592	0.288982235	0.288982235	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.5553363279952668	0.03360532678826045	0.03642541848165359	84.0	0.0135	0.09	0.288982235	0.03501537263495702	0.06	0.03	8.045162444320711	6.305255188573844	4.477611940298507	2.027027027027027	1.2883435582822085	0.31982942430703626	-81.81818181818181	3.81424759573192	0.005559468858835626	0.005631560304928396	0.12710479836480765	0.01902323731343042	0.019894828716939275
KIC5021689	1.22	0.08	0.07	1.79	0.04	0.04	6168.0	84.0	84.0	-0.08	0.09	0.09	NA	NA	NA	NA	4.016	0.011	0.01	NA	4.306	0.358627328	0.358627328	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.6340740254874684	0.03474292680548541	0.03776589535422625	84.0	0.010499999999999999	0.09	0.358627328	0.03625441107985583	0.07500000000000001	0.04	8.328549187180679	5.717693774316632	6.147540983606558	2.2346368715083798	1.3618677042801557	0.2614541832669322	-112.5	3.7901443650429005	0.005874604304248798	0.005955159661939824	0.08635983067474821	0.027583521632088576	0.025661990321136564
KIC5450445	1.39	0.07	0.06	1.99	0.04	0.04	6112.0	84.0	84.0	0.05	0.09	0.09	NA	NA	NA	NA	3.985	0.009	0.009	NA	5.484	0.465478939	0.465478939	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.7390974461174751	0.03538148535455954	0.038521695043855164	84.0	0.009	0.09	0.465478939	0.03695159019920735	0.065	0.04	8.48794564186725	4.999555930454957	4.676258992805756	2.0100502512562812	1.37434554973822	0.22584692597239647	180.0	3.7861833455676335	0.0059280635195348985	0.006010101925039368	0.14301480025409505	0.021338055530342043	0.019163159287009304
KIC5774694	1.06	0.05	0.06	1.0	0.03	0.03	5875.0	84.0	84.0	0.07	0.09	0.09	NA	NA	NA	NA	4.463	0.017	0.019	NA	0.953	0.061686383	0.061686383	NA	MS	G	NA	NA	NA	NA	NA	C14bruntt	A	1	-0.02090709936167361	0.02723893158244398	0.029062359151703545	84.0	0.018000000000000002	0.09	0.061686383	0.028150645367073762	0.055	0.03	6.472862854144806	134.646346105184	5.188679245283018	3.0	1.4297872340425533	0.4033161550526552	128.57142857142856	3.7690078709437738	0.006165514481013101	0.00625430601039989	0.02530586526477026	0.020017113521887214	0.02530586526477026
KIC5939450	1.53	0.1	0.09	2.88	0.07	0.06	6282.0	84.0	84.0	-0.18	0.09	0.09	NA	NA	NA	NA	3.701	0.017	0.013	NA	11.37	0.908440115	0.908440115	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	1.0557604646877348	0.03338273172013784	0.03616401926361257	84.0	0.015	0.09	0.908440115	0.0347733754918752	0.095	0.065	7.98979872471416	3.2936803995743693	6.209150326797386	2.2569444444444446	1.3371537726838587	0.405295865982167	-50.0	3.798097932062486	0.0057687022224981455	0.005846360159222019	0.1846914308175988	0.02749617358635903	0.026328938722349177
KIC6442183	1.08	0.05	0.05	1.71	0.03	0.03	5760.0	84.0	84.0	-0.11	0.09	0.09	NA	NA	NA	NA	4.006	0.009	0.008	NA	2.577	0.22061138	0.22061138	NA	MS	G	NA	NA	NA	NA	NA	C14bruntt	A	1	0.41111441855090475	0.03567296735778713	0.03886750187412363	84.0	0.0085	0.09	0.22061138	0.03727023461595538	0.05	0.03	8.560783081102057	9.065659810065876	4.62962962962963	1.7543859649122808	1.4583333333333333	0.2121817274088867	-81.81818181818181	3.760422483423212	0.006287723839047299	0.006380096637775612	0.03342375548694973	0.019654687996470036	0.020586530781777513
KIC9226926	1.39	0.05	0.04	1.64	0.03	0.03	6892.0	84.0	84.0	-0.23	0.09	0.09	NA	NA	NA	NA	4.151	0.013	0.012	NA	4.548	0.365619369	0.365619369	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.6578204560156972	0.03358105503242559	0.036396901369382784	84.0	0.0125	0.09	0.365619369	0.034988978200904186	0.045	0.03	8.039124208443273	5.318925229663163	3.2374100719424463	1.829268292682927	1.2188044109112013	0.3011322572874006	-39.130434782608695	3.8383452687759907	0.005261203148520188	0.005325721699459329	0.14301480025409505	0.015347691841154587	0.012681031759088968
KIC10130724	0.85	0.15	0.09	1.08	0.06	0.04	5648.0	70.0	70.0	0.32	0.15	0.15	NA	NA	NA	NA	4.306	0.022	0.016	NA	4.802	1.391686439	1.391686439	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6814221557210085	0.11052705930378837	0.14862784372222948	70.0	0.019	0.15	1.391686439	0.12957745151300892	0.12	0.05	28.981391899208667	19.015737957023696	14.117647058823529	4.62962962962963	1.2393767705382437	0.4412447747329308	46.875	3.7518946880437474	0.0053494629782226966	0.00541617811371653	-0.07058107428570728	0.07058107428570728	0.04860533343350136
KIC10202294	1.18	0.21	0.11	1.88	0.08	0.07	5803.0	66.0	66.0	0.36	0.1	0.1	NA	NA	NA	NA	3.961	0.026	0.015	NA	4.243	0.366465826	0.366465826	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6276730317666159	0.03597756775270222	0.039229414874940916	66.0	0.020499999999999997	0.1	0.366465826	0.03760349131382157	0.16	0.07500000000000001	8.636950883808625	5.990936269475324	13.559322033898306	3.98936170212766	1.1373427537480614	0.5175460742236808	27.77777777777778	3.7636525705645303	0.004911538949043059	0.004967720682089283	0.07188200730612536	0.07113279294796969	0.04249822962091578
KIC10290021	1.37	0.13	0.11	2.05	0.06	0.07	6215.0	56.0	56.0	0.06	0.15	0.1	NA	NA	NA	NA	3.955	0.014	0.015	NA	6.234	0.534000492	0.534000492	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7947667979408211	0.03569358366119768	0.0388919797548023	56.0	0.014499999999999999	0.125	0.534000492	0.03729278170799999	0.12	0.065	8.56593666987488	4.692292356024772	8.75912408759124	3.1707317073170733	0.9010458567980691	0.3666245259165613	208.33333333333334	3.7934411329776636	0.00389566779768602	0.003930928887409202	0.1367205671564068	0.039370691899274446	0.03635002203884388
